label,label_line,closest_ref_dist_lines,status
sec:intro,86,,UNREFERENCED
fig:arch,223,97,ok
sec:related,230,110,ok
sec:method,272,151,ok
eq:stacker,282,2,ok
subsec:bases,288,,UNREFERENCED
alg:stacker,312,7,ok
subsec:routing,331,,UNREFERENCED
alg:pipeline,349,10,ok
sec:setup,366,243,ok
subsec:env,376,,UNREFERENCED
subsec:datasets,386,,UNREFERENCED
tab:datasets,398,11,ok
tab:families,419,9,ok
sec:results,461,337,ok
tab:baseline,471,7,ok
fig:pr,508,43,ok
fig:perfamily,529,11,ok
subsec:threshold,533,,UNREFERENCED
fig:threshold,543,9,ok
fig:cm,554,7,ok
tab:cv,565,7,ok
subsec:ablation,578,,UNREFERENCED
tab:ablation,588,9,ok
fig:abl,605,26,ok
subsec:scalability,609,227,ok
tab:scale,619,6,ok
fig:scale,636,26,ok
subsec:sql,640,,UNREFERENCED
tab:sql_summary,653,11,ok
fig:sqlmat,680,11,ok
tab:sql_by_diff,691,8,ok
subsec:confidence,704,,UNREFERENCED
fig:confidence,722,16,ok
subsec:failure,726,79,ok
tab:failmodes,746,18,ok
fig:failure,765,36,ok
sec:case,779,57,ok
fig:case,818,35,ok
sec:discussion,825,700,ok
subsec:threats,855,,UNREFERENCED
sec:conclusion,869,743,ok
