dataset,leave_out,f1,precision,recall,auc_pr
D1,none,0.5114931427467645,0.49421425905188504,0.5300240192153723,0.4642150229104708
D1,rule,0.5138829560017086,0.5508241758241759,0.48158526821457165,0.4645009784304503
D1,stat,0.4485981308411215,0.37540453074433655,0.5572457966373099,0.2647520659762136
D1,iforest,0.48301113063854717,0.38083140877598154,0.6601281024819856,0.24848130731475035
D1,lof,0.5103969754253308,0.4835243553008596,0.5404323458767014,0.46100403069005486
D2,none,0.358992040916013,0.2518646937870419,0.6247,0.21045846611251162
D2,rule,0.3779385714714625,0.27004762517698544,0.6294,0.20235366808371838
D2,stat,0.3569829185592732,0.26244003386323017,0.558,0.21758403438102716
D2,iforest,0.34534891859732625,0.26564014213416604,0.4934,0.23698820407804755
D2,lof,0.35879024614412497,0.2516823145424507,0.6246,0.2103431698962196
D3,none,0.7171532846715328,0.6593959731543624,0.786,0.8164489995409855
D3,rule,0.6900256949310909,0.531103919453434,0.9846666666666667,0.6767435792030715
D3,stat,0.7022274325908558,0.6265690376569037,0.7986666666666666,0.7997715980375985
D3,iforest,0.7255723960012899,0.7026858213616489,0.75,0.8412718491935165
D3,lof,0.7061668681983071,0.6460176991150443,0.7786666666666666,0.8108402266392776
