query,src_dialect,tgt_dialect,difficulty,cause,error
insert_ignore,mysql,postgres,hard,DML / DDL extension,
insert_ignore,mysql,tsql,hard,DML / DDL extension,
insert_ignore,mysql,oracle,hard,DML / DDL extension,
insert_ignore,mysql,snowflake,hard,DML / DDL extension,
pivot_crosstab,postgres,snowflake,hard,DML / DDL extension,
pivot_table,tsql,postgres,hard,DML / DDL extension,
pivot_table,tsql,mysql,hard,DML / DDL extension,
pivot_unpivot,oracle,postgres,hard,DML / DDL extension,
pivot_unpivot,oracle,mysql,hard,DML / DDL extension,
analytical_functions,oracle,mysql,hard,Decorator / footprint drift,
analytical_functions,oracle,tsql,hard,Decorator / footprint drift,
auto_increment_table,mysql,postgres,easy,Decorator / footprint drift,
complex_join_aggregation,mysql,postgres,hard,Decorator / footprint drift,
complex_join_aggregation,mysql,snowflake,hard,Decorator / footprint drift,
complex_nested_query,postgres,mysql,hard,Decorator / footprint drift,
complex_nested_query,postgres,tsql,hard,Decorator / footprint drift,
create_table,snowflake,postgres,easy,Decorator / footprint drift,
create_table_basic,postgres,snowflake,easy,Decorator / footprint drift,
cte_basic,postgres,tsql,medium,Decorator / footprint drift,
cte_with_window,snowflake,postgres,hard,Decorator / footprint drift,
cte_with_window,snowflake,mysql,hard,Decorator / footprint drift,
cte_with_window,snowflake,tsql,hard,Decorator / footprint drift,
decode_function,oracle,postgres,medium,Decorator / footprint drift,
decode_function,oracle,mysql,medium,Decorator / footprint drift,
decode_function,oracle,tsql,medium,Decorator / footprint drift,
full_outer_join,postgres,mysql,medium,Decorator / footprint drift,
full_text_search,postgres,mysql,hard,Decorator / footprint drift,
full_text_search,postgres,tsql,hard,Decorator / footprint drift,
full_text_search,postgres,oracle,hard,Decorator / footprint drift,
full_text_search,postgres,snowflake,hard,Decorator / footprint drift,
gin_index_usage,postgres,mysql,hard,Decorator / footprint drift,
gin_index_usage,postgres,tsql,hard,Decorator / footprint drift,
iff_function,snowflake,postgres,medium,Decorator / footprint drift,
iff_function,snowflake,mysql,medium,Decorator / footprint drift,
iff_function,snowflake,oracle,medium,Decorator / footprint drift,
iif_function,tsql,postgres,medium,Decorator / footprint drift,
iif_function,tsql,mysql,medium,Decorator / footprint drift,
iif_function,tsql,oracle,medium,Decorator / footprint drift,
insert_with_now,mysql,postgres,easy,Decorator / footprint drift,
limit_offset,mysql,tsql,easy,Decorator / footprint drift,
limit_offset,mysql,oracle,easy,Decorator / footprint drift,
limit_offset,snowflake,mysql,easy,Decorator / footprint drift,
limit_offset,snowflake,tsql,easy,Decorator / footprint drift,
limit_offset,snowflake,oracle,easy,Decorator / footprint drift,
listagg,oracle,mysql,hard,Decorator / footprint drift,
listagg,oracle,tsql,hard,Decorator / footprint drift,
merge_statement,tsql,postgres,hard,Decorator / footprint drift,
multiple_ctes,postgres,mysql,hard,Decorator / footprint drift,
order_by_limit,postgres,mysql,easy,Decorator / footprint drift,
order_by_limit,postgres,tsql,easy,Decorator / footprint drift,
order_by_limit,postgres,oracle,easy,Decorator / footprint drift,
percentile_calculation,postgres,mysql,hard,Decorator / footprint drift,
percentile_calculation,postgres,tsql,hard,Decorator / footprint drift,
recursive_cte,postgres,mysql,hard,Decorator / footprint drift,
recursive_cte,postgres,tsql,hard,Decorator / footprint drift,
row_number_pagination,postgres,mysql,medium,Decorator / footprint drift,
row_number_pagination,postgres,tsql,medium,Decorator / footprint drift,
row_number_pagination,oracle,mysql,medium,Decorator / footprint drift,
row_number_pagination,oracle,tsql,medium,Decorator / footprint drift,
rownum_limit,oracle,mysql,easy,Decorator / footprint drift,
rownum_limit,oracle,tsql,easy,Decorator / footprint drift,
string_aggregation,postgres,mysql,medium,Decorator / footprint drift,
string_aggregation,postgres,tsql,medium,Decorator / footprint drift,
top_select,tsql,oracle,easy,Decorator / footprint drift,
top_with_offset,tsql,mysql,medium,Decorator / footprint drift,
try_cast,snowflake,postgres,medium,Decorator / footprint drift,
try_cast,snowflake,mysql,medium,Decorator / footprint drift,
window_function_rank,postgres,mysql,medium,Decorator / footprint drift,
window_function_rank,postgres,tsql,medium,Decorator / footprint drift,
window_lead_lag,postgres,mysql,medium,Decorator / footprint drift,
window_lead_lag,postgres,tsql,medium,Decorator / footprint drift,
array_agg,postgres,mysql,hard,Dialect-specific construct,
array_agg,postgres,tsql,hard,Dialect-specific construct,
array_agg,postgres,snowflake,hard,Dialect-specific construct,
flatten_array,snowflake,postgres,medium,Dialect-specific construct,
flatten_array,snowflake,tsql,medium,Dialect-specific construct,
generate_series_dates,postgres,mysql,hard,Dialect-specific construct,
generate_series_dates,postgres,tsql,hard,Dialect-specific construct,
generate_series_dates,postgres,oracle,hard,Dialect-specific construct,
generate_series_dates,postgres,snowflake,hard,Dialect-specific construct,
json_extract,mysql,tsql,medium,Dialect-specific construct,
json_extract,mysql,snowflake,medium,Dialect-specific construct,
json_operations,tsql,tsql,hard,Dialect-specific construct,
jsonb_operations,postgres,mysql,medium,Dialect-specific construct,
jsonb_operations,postgres,tsql,medium,Dialect-specific construct,
jsonb_operations,postgres,oracle,medium,Dialect-specific construct,
jsonb_operations,postgres,snowflake,medium,Dialect-specific construct,
lateral_join,postgres,mysql,hard,Dialect-specific construct,
lateral_join,postgres,tsql,hard,Dialect-specific construct,
lateral_join,postgres,oracle,hard,Dialect-specific construct,
qualify_clause,snowflake,postgres,medium,Dialect-specific construct,
qualify_clause,snowflake,mysql,medium,Dialect-specific construct,
qualify_clause,snowflake,tsql,medium,Dialect-specific construct,
qualify_clause,snowflake,oracle,medium,Dialect-specific construct,
variant_json,snowflake,tsql,hard,Dialect-specific construct,
date_format,mysql,postgres,medium,Function semantics,
date_format,mysql,tsql,medium,Function semantics,
date_format,mysql,oracle,medium,Function semantics,
date_format,mysql,snowflake,medium,Function semantics,
date_truncation,postgres,mysql,medium,Function semantics,
format_function,tsql,mysql,medium,Function semantics,
format_function,tsql,oracle,medium,Function semantics,
format_function,tsql,snowflake,medium,Function semantics,
to_char_date,oracle,postgres,medium,Function semantics,
to_char_date,oracle,mysql,medium,Function semantics,
to_char_date,oracle,tsql,medium,Function semantics,
try_convert,tsql,postgres,medium,Function semantics,
try_convert,tsql,mysql,medium,Function semantics,
try_convert,tsql,oracle,medium,Function semantics,
try_convert,tsql,snowflake,medium,Function semantics,
listen_notify,postgres,postgres,hard,Parse error,parse:ParseError
listen_notify,postgres,mysql,hard,Parse error,parse:ParseError
listen_notify,postgres,tsql,hard,Parse error,parse:ParseError
listen_notify,postgres,oracle,hard,Parse error,parse:ParseError
listen_notify,postgres,snowflake,hard,Parse error,parse:ParseError
