query,src_folder,src_dialect,tgt_dialect,level,complexity,difficulty,parse_ok,transpile_ok,ast_equiv,latency_ms,error
simple_select,postgresql,postgres,postgres,basic,10,easy,True,True,True,5.005,
simple_select,postgresql,postgres,mysql,basic,10,easy,True,True,True,4.676,
simple_select,postgresql,postgres,tsql,basic,10,easy,True,True,True,7.059,
simple_select,postgresql,postgres,oracle,basic,10,easy,True,True,True,3.047,
simple_select,postgresql,postgres,snowflake,basic,10,easy,True,True,True,5.618,
basic_insert,postgresql,postgres,postgres,basic,15,easy,True,True,True,0.843,
basic_insert,postgresql,postgres,mysql,basic,15,easy,True,True,True,0.478,
basic_insert,postgresql,postgres,tsql,basic,15,easy,True,True,True,0.509,
basic_insert,postgresql,postgres,oracle,basic,15,easy,True,True,True,0.437,
basic_insert,postgresql,postgres,snowflake,basic,15,easy,True,True,True,0.475,
basic_update,postgresql,postgres,postgres,basic,15,easy,True,True,True,1.796,
basic_update,postgresql,postgres,mysql,basic,15,easy,True,True,True,0.435,
basic_update,postgresql,postgres,tsql,basic,15,easy,True,True,True,0.469,
basic_update,postgresql,postgres,oracle,basic,15,easy,True,True,True,0.347,
basic_update,postgresql,postgres,snowflake,basic,15,easy,True,True,True,0.339,
simple_join,postgresql,postgres,postgres,basic,20,easy,True,True,True,0.913,
simple_join,postgresql,postgres,mysql,basic,20,easy,True,True,True,0.564,
simple_join,postgresql,postgres,tsql,basic,20,easy,True,True,True,0.808,
simple_join,postgresql,postgres,oracle,basic,20,easy,True,True,True,0.544,
simple_join,postgresql,postgres,snowflake,basic,20,easy,True,True,True,0.773,
group_by_aggregation,postgresql,postgres,postgres,basic,20,easy,True,True,True,1.156,
group_by_aggregation,postgresql,postgres,mysql,basic,20,easy,True,True,True,0.675,
group_by_aggregation,postgresql,postgres,tsql,basic,20,easy,True,True,True,0.705,
group_by_aggregation,postgresql,postgres,oracle,basic,20,easy,True,True,True,0.608,
group_by_aggregation,postgresql,postgres,snowflake,basic,20,easy,True,True,True,0.628,
basic_where_and,postgresql,postgres,postgres,basic,15,easy,True,True,True,0.618,
basic_where_and,postgresql,postgres,mysql,basic,15,easy,True,True,True,0.416,
basic_where_and,postgresql,postgres,tsql,basic,15,easy,True,True,True,0.403,
basic_where_and,postgresql,postgres,oracle,basic,15,easy,True,True,True,0.392,
basic_where_and,postgresql,postgres,snowflake,basic,15,easy,True,True,True,0.517,
order_by_limit,postgresql,postgres,postgres,basic,15,easy,True,True,True,0.669,
