claim,location_in_tex,backing_file,backing_value,match
"F1 of 0.511 on the SEC corpus (D1 hybrid_lr)","abstract line 63","results/tables/baseline.csv","0.5114931","yes"
"absolute gain of 0.043 over the strongest single detector (D1)","abstract line 63","results/tables/baseline.csv","0.5115-0.4697=0.0418 (rounds to 0.042 not 0.043)","NO - off by 0.001"
"0.359 on payroll (D2 hybrid_lr F1)","abstract line 64","results/tables/baseline.csv","0.3589920","yes"
"0.717 on credit default (D3 hybrid_lr F1)","abstract line 64","results/tables/baseline.csv","0.7171533","yes"
"per-family recall above 0.94 on five of fifteen families","abstract line 65","results/tables/per_family.csv","A4=0.944 B1=0.944 B2=0.994 C1=1.000 C5=1.000 = 5 families (A4 B1 B2 C1 C5)","yes - count correct but see body text below"
"below 0.10 on three families","abstract line 66","results/tables/per_family.csv","A2=0.034 A3=0.022 C3=0.000","yes"
"End-to-end throughput 17.3 s on 200000-row payroll corpus","abstract line 68","results/tables/scalability.csv","16.625s (fresh run) / committed: 17.32 s","yes - timing-only measurement difference; F1 reproduces exactly"
"109 curated queries (abstract)","abstract line 70","results/tables/sql_migration_summary.csv","n_queries=109 is BUG: counts unique names not unique (src_folder query) pairs; correct value=115","NO - G2 bug"
"575 source-target pairs","abstract line 71","results/tables/sql_migration_summary.csv","575","yes"
"Parse and transpile success both exceed 0.99","abstract line 72","results/tables/sql_migration_summary.csv","parse=0.9913 transpile=0.9913","yes"
"AST footprint-equivalence test yields 0.800 overall","abstract line 73","results/tables/sql_migration_summary.csv","0.8000","yes"
"degrades from 0.921 on easy queries to 0.738 on hard ones","abstract line 74","results/tables/sql_migration_by_difficulty.csv","easy=0.921 medium=0.738 hard=0.742","NO - abstract says 0.738 is on hard but actual hard=0.742 and medium=0.738; abstract conflates medium with hard"
"13998 positives across 282500 rows","contributions line 282","data/injection_manifest.json","D1=2498/50500 D2=10000/202000 D3=1500/30000 total=13998/282500","yes"
"109-query five-dialect SQL corpus (contributions)","contributions line 283","results/tables/sql_migration_summary.csv","115 unique (src_folder query) pairs","NO - G2 bug"
"D1 rule F1=0.470","Table 3 line 728","results/tables/baseline.csv","0.4697108","yes"
"D1 stat F1=0.158","Table 3 line 729","results/tables/baseline.csv","0.1580941","yes"
"D1 iforest F1=0.427","Table 3 line 730","results/tables/baseline.csv","0.4271698","yes"
"D1 lof F1=0.146","Table 3 line 731","results/tables/baseline.csv","0.1463118","yes"
"D1 hybrid(fixed) F1=0.368","Table 3 line 732","results/tables/baseline.csv","0.3684656","yes"
"D1 hybrid_lr F1=0.511","Table 3 line 733","results/tables/baseline.csv","0.5114931","yes"
"D1 hybrid_lr Prec=0.494","Table 3 line 733","results/tables/baseline.csv","0.4942143","yes"
"D1 hybrid_lr Recall=0.530","Table 3 line 733","results/tables/baseline.csv","0.5300240","yes"
"D1 hybrid_lr AUC-PR=0.464","Table 3 line 733","results/tables/baseline.csv","0.4642150","yes"
"D1 hybrid_lr FPR=0.028","Table 3 line 733","results/tables/baseline.csv","0.0282280","yes"
"D2 rule F1=0.341","Table 3 line 736","results/tables/baseline.csv","0.3412027","yes"
"D2 stat F1=0.134","Table 3 line 737","results/tables/baseline.csv","0.1335829","yes"
"D2 iforest F1=0.361","Table 3 line 738","results/tables/baseline.csv","0.3612612","yes"
"D2 lof F1=0.104","Table 3 line 739","results/tables/baseline.csv","0.1040390","yes"
