dataset,detector,n_seeds,f1_mean,f1_std,f1_ci95_lo,f1_ci95_hi,f1_min,f1_max,precision_mean,precision_std,recall_mean,recall_std,auc_pr_mean,auc_pr_std
D1,rule,10,0.46763184478738246,0.0014654304346894337,0.46658353900570776,0.46868015056905715,0.465669819957278,0.4697108066971081,0.37800276735621546,0.0012921808698108507,0.612978430931029,0.002065910163087991,0.25735772770480414,0.001669225902077446
D2,rule,10,0.33978461173575314,0.0011358588451388279,0.3389720672666752,0.34059715620483105,0.3373196724120207,0.3412026726057906,0.25846385783318077,0.0008386746081693182,0.49577,0.0019131416861045843,0.1525250856127989,0.0012212415717578174
D3,rule,10,0.6997722180771465,0.001410616170688874,0.6987631240577703,0.7007813120965227,0.6972690296339338,0.7023705004389815,0.6218655039640477,0.002228208165722241,0.8,0.0,0.757755975463273,0.0015608869033693598
D1,stat,10,0.15915529612104162,0.0014903484335475681,0.15808916507680082,0.16022142716528243,0.15803488940818433,0.16280748514631574,0.09244873869857381,0.0009488698235636731,0.5720451003168849,0.016718750043003792,0.07700265500732803,0.0006330521430068342
D2,stat,10,0.13303908362468025,0.0007544374567427907,0.13249939157987636,0.13357877566948415,0.1317620280118215,0.13402156373771454,0.07323525403136212,0.0004145317995082124,0.7254000000000002,0.004218214472182909,0.06701554512871863,0.0005741865055797699
D3,stat,10,0.18488770929924764,0.003053118328389735,0.18270364001828843,0.18707177858020685,0.17939313104368124,0.19003079730808714,0.11222471053243228,0.002166027976008642,0.5252,0.019074383312847432,0.09644468671881064,0.002217832978801314
D1,iforest,10,0.4135059409638583,0.015424360325409553,0.40247201828489665,0.4245398636428199,0.389630078835658,0.43311911522941265,0.3325221061419569,0.021638307660629002,0.5494458128414166,0.02687913623151672,0.2385028643323424,0.013317955630798883
D2,iforest,10,0.3621978307956553,0.007183571593932948,0.3570590132464007,0.3673366483449099,0.3515607843137255,0.37454015409176095,0.2729743669510521,0.01213493973274091,0.54048,0.025586272361040274,0.22009000371613463,0.010510026434580424
D3,iforest,10,0.5951892281880407,0.025232993661178975,0.5771386319142022,0.6132398244618791,0.5467483692429334,0.6315062183325656,0.4425404395931434,0.029173280667625045,0.9122,0.02472775219050576,0.5500550397864534,0.03981357759647733
D1,lof,10,0.14767983458148723,0.00545809364815833,0.14377534959684254,0.15158431956613191,0.13952172067355315,0.15633255633255633,0.12659970062397907,0.018115237271144793,0.19210401208889294,0.0549379057548651,0.08378719537821314,0.0030091969539188072
D2,lof,10,0.10469846238516231,0.001495297701335223,0.1036287908480301,0.10576813392229452,0.10283074858720616,0.10653882292645425,0.059083853407941,0.0011386724683822677,0.46386000000000005,0.04540362687421936,0.05241782522397139,0.00047163709971774124
D3,lof,10,0.09922790975127734,0.0013342324654602353,0.09827345734294009,0.10018236215961458,0.09714351798311553,0.10178817056396149,0.060427308522911304,0.0018185663387798921,0.2820666666666667,0.03420555149513629,0.06269045051242514,0.0017301656866341134
D1,hybrid,10,0.36713979352366655,0.002351725163333603,0.36545747068713086,0.36882211636020223,0.3633464441373445,0.3700636942675159,0.24958799471182372,0.0015316825399296894,0.6940106471508356,0.005406556925905171,0.18319336524103247,0.0050608597742584005
D2,hybrid,10,0.3602244262281494,0.004228400142250556,0.3571996109851831,0.36324924147111565,0.3546119536128457,0.3664165169291477,0.27853411307370174,0.002852775921716043,0.5098,0.00992247728924364,0.2246412945932914,0.008290430627475618
D3,hybrid,10,0.6970715227668628,0.007525435941484124,0.6916881501956823,0.7024548953380433,0.6851131946032472,0.7120559741657696,0.5633308816938671,0.024024538681463606,0.9185999999999999,0.0483571588786481,0.6724968645988776,0.01897941273336799
D1,hybrid_lr,10,0.5231359888570777,0.01880113711534289,0.5096864655815158,0.5365855121326396,0.49965373961218834,0.5468716172331674,0.5250655436886771,0.06456444878088578,0.5305340512451858,0.04332281161863241,0.47409496685618036,0.056466784975137324
D2,hybrid_lr,10,0.3523957553594076,0.006070353952772284,0.34805328573760563,0.35673822498120955,0.3455018834478174,0.3618527629447411,0.2480366885393451,0.006415680229412468,0.6092299999999999,0.01891296145798197,0.2149528959253398,0.011892350602656136
D3,hybrid_lr,10,0.7193253779701306,0.007299483621701028,0.714103641951327,0.7245471139889342,0.7082840236686391,0.7332576617480137,0.7002357418867724,0.05994340042061352,0.7467333333333334,0.04584509613367795,0.8316773024762993,0.014933360663847681
