dataset,family,n_seeds,recall_mean,recall_std,recall_ci95_lo,recall_ci95_hi,recall_min,recall_max
D1,A1_sign_flip,10,0.7414,0.17171047984584076,0.6185657224147412,0.8642342775852587,0.484,1.0
D1,A2_magnitude_outlier,10,0.0374,0.03219454750247142,0.014369408109506456,0.060430591890493546,0.02,0.128
D1,A3_tag_mismatch,10,0.014705276061643202,0.004841576788980594,0.01124182066985866,0.018168731453427747,0.006012024048096192,0.0220883534136546
D1,A4_period_violation,10,0.9280000000000002,0.05327496806401877,0.8898893836800377,0.9661106163199626,0.78,0.958
D1,A5_duplicate_posting,10,0.9275999999999998,0.03990878488642709,0.8990509751225965,0.956149024877403,0.818,0.956
D2,B1_ot_regular_inconsistency,10,0.9440500000000001,0.02590415024663036,0.9255192872277713,0.9625807127722288,0.887,0.9785
D2,B2_salary_basis_mismatch,10,0.993,0.007374882296612513,0.9877243270183974,0.9982756729816026,0.9765,1.0
D2,B3_near_duplicate_name,10,0.09280000000000001,0.00510010893129854,0.08915160185479293,0.09644839814520709,0.084,0.1005
D2,B4_agency_title_violation,10,0.3604,0.07258320895511731,0.30847710021644503,0.41232289978355496,0.243,0.441
D2,B5_magnitude_outlier,10,0.6559,0.02021110805692972,0.6414418442741561,0.670358155725844,0.626,0.6915
D3,C1_education_out_of_domain,10,0.9996666666666666,0.001054092553389449,0.9989126142790672,1.000420719054266,0.9966666666666667,1.0
D3,C2_limitbal_inconsistency,10,0.9043333333333333,0.08359292899389147,0.8445345542872377,0.964132112379429,0.7333333333333333,1.0
D3,C3_bill_sign_violation,10,0.0006666666666666668,0.0021081851067789197,-0.0008414381085321365,0.0021747714418654703,0.0,0.006666666666666667
D3,C4_pay_temporal_violation,10,0.8290000000000001,0.1874457946338779,0.6949093563134966,0.9630906436865035,0.3566666666666667,0.99
D3,C5_age_range_violation,10,1.0,0.0,1.0,1.0,1.0,1.0
