dataset,model,pyod_f1,hybrid_lr_f1,delta_f1,subsampled
D1,ECOD,0.4165,0.5115,-0.095,False
D1,COPOD,0.3718,0.5115,-0.1397,False
D1,HBOS,0.4943,0.5115,-0.0172,False
D1,KNN,0.4338,0.5115,-0.0777,True
D1,LODA,0.1547,0.5115,-0.3568,False
D1,AutoEncoder,0.546,0.5115,0.0345,False
D2,ECOD,0.2432,0.359,-0.1158,False
D2,COPOD,0.2414,0.359,-0.1176,False
D2,HBOS,0.3842,0.359,0.0252,False
D2,KNN,0.2273,0.359,-0.1317,True
D2,LODA,0.189,0.359,-0.17,False
D2,AutoEncoder,0.3926,0.359,0.0336,False
D3,ECOD,0.5956,0.7172,-0.1215,False
D3,COPOD,0.4914,0.7172,-0.2258,False
D3,HBOS,0.7166,0.7172,-0.0005,False
D3,KNN,0.1598,0.7172,-0.5573,False
D3,LODA,0.331,0.7172,-0.3861,False
D3,AutoEncoder,0.477,0.7172,-0.2401,False
