dataset,meta_learner,fold,f1
D1,LR,0,0.5269709543568465
D1,LR,1,0.5165562913907285
D1,LR,2,0.5137420718816068
D1,LR,3,0.5333333333333333
D1,LR,4,0.5067437379576107
D1,RF,0,0.5461928934010152
D1,RF,1,0.5498938428874734
D1,RF,2,0.5161870503597122
D1,RF,3,0.548728813559322
D1,RF,4,0.5653846153846154
D1,GBM,0,0.6041237113402061
D1,GBM,1,0.5940803382663847
D1,GBM,2,0.6002034587995931
D1,GBM,3,0.5991820040899796
D1,GBM,4,0.5868498527968596
D1,MLP,0,0.5437100213219617
D1,MLP,1,0.5316184351554126
D1,MLP,2,0.515562649640862
D1,MLP,3,0.5413687436159347
D1,MLP,4,0.5204918032786885
D2,LR,0,0.3609044493070751
D2,LR,1,0.3561058923996584
D2,LR,2,0.3626135871916919
D2,LR,3,0.35532102022867196
D2,LR,4,0.36326590016009314
D2,RF,0,0.5913195455869502
D2,RF,1,0.5889818286703201
D2,RF,2,0.5841904202174552
D2,RF,3,0.5754468209786112
D2,RF,4,0.57953216374269
D2,GBM,0,0.5663005625502276
D2,GBM,1,0.5723559642953746
D2,GBM,2,0.5685636856368563
D2,GBM,3,0.5643644181671593
D2,GBM,4,0.567479674796748
D2,MLP,0,0.5335012594458438
D2,MLP,1,0.5317976965448172
D2,MLP,2,0.4877222692633362
D2,MLP,3,0.5186880244088482
D2,MLP,4,0.4166200857089622
D3,LR,0,0.734375
D3,LR,1,0.7216174183514774
D3,LR,2,0.7316341829085458
D3,LR,3,0.7076023391812866
D3,LR,4,0.6984615384615385
D3,RF,0,0.7907647907647908
D3,RF,1,0.7453769559032717
D3,RF,2,0.7742899850523169
D3,RF,3,0.7349228611500701
D3,RF,4,0.7468879668049793
D3,GBM,0,0.7867867867867868
D3,GBM,1,0.7697063369397218
D3,GBM,2,0.7734806629834254
D3,GBM,3,0.7286527514231499
D3,GBM,4,0.7656765676567657
D3,MLP,0,0.7301587301587301
D3,MLP,1,0.7188498402555911
D3,MLP,2,0.7454242928452579
D3,MLP,3,0.7201309328968903
D3,MLP,4,0.7183098591549296
