low_tau,high_tau,auto_clean_coverage,auto_clean_precision,auto_clean_recall,manual_review_coverage,analyst_burden,auto_pass_coverage,auto_pass_accuracy,missed_anomalies_in_pass,dataset
0.2229,0.6119,0.1008,0.3396,1.0,0.3992,0.3992,0.5,0.9885,291,D1
0.2397,0.6119,0.1008,0.3396,1.0,0.2992,0.2992,0.6,0.9885,347,D1
0.2397,0.9249,0.05,0.5065,1.0,0.35,0.35,0.6,0.9885,347,D1
0.2745,0.9249,0.05,0.5065,1.0,0.25,0.25,0.7,0.9886,402,D1
0.2745,0.9531,0.01,0.7267,1.0,0.29,0.29,0.7,0.9886,402,D1
0.3,0.7321,0.1,0.2507,1.0,0.4004,0.4004,0.4996,0.9815,1871,D2
0.3255,0.7321,0.1,0.2507,1.0,0.3,0.3,0.6,0.9813,2261,D2
0.3255,0.8585,0.05,0.2381,1.0,0.35,0.35,0.6,0.9813,2261,D2
0.3692,0.8585,0.05,0.2381,1.0,0.25,0.25,0.7,0.981,2690,D2
0.3692,0.9427,0.01,0.2569,1.0,0.29,0.29,0.7,0.981,2690,D2
0.0032,0.0068,0.1,0.5,1.0,0.4,0.4,0.5,1.0,0,D3
0.0034,0.0068,0.1,0.5,1.0,0.3,0.3,0.6,1.0,0,D3
0.0034,0.9585,0.05,0.6887,1.0,0.35,0.35,0.6,1.0,0,D3
0.0037,0.9585,0.05,0.6887,1.0,0.25,0.25,0.7,1.0,0,D3
0.0037,0.9912,0.01,1.0,1.0,0.29,0.29,0.7,1.0,0,D3
