src,tgt,n,ast_equiv_strict,ast_equiv_relaxed
mysql,oracle,20,0.0,0.0
mysql,postgresql,20,0.0,0.0
mysql,snowflake,20,0.0,0.0
mysql,sqlserver,20,0.0,0.0
oracle,mysql,13,0.0,0.0
oracle,postgresql,13,0.0,0.0
oracle,snowflake,13,0.0,0.0
oracle,sqlserver,13,0.0,0.0
postgresql,mysql,54,0.0,0.0
postgresql,oracle,54,0.0,0.0
postgresql,snowflake,54,0.0,0.0
postgresql,sqlserver,54,0.0,0.0
snowflake,mysql,14,0.0,0.0
snowflake,oracle,14,0.0,0.0
snowflake,postgresql,14,0.0,0.0
snowflake,sqlserver,14,0.0,0.0
sqlserver,mysql,13,0.0,0.0
sqlserver,oracle,13,0.0,0.0
sqlserver,postgresql,13,0.0,0.0
sqlserver,snowflake,13,0.0,0.0
