src_folder,name,level,cte,window,pivot,array,lateral,json,ddl,dml_nonsel,subquery,union,groupby,having,case,recursive,dialect_specific
postgresql,simple_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,basic_insert,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
postgresql,basic_update,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
postgresql,simple_join,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,group_by_aggregation,basic,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
postgresql,basic_where_and,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,order_by_limit,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,count_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,sum_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,avg_aggregate,basic,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
postgresql,in_clause,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,like_pattern,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,between_clause,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,is_null_check,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,distinct_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,max_min_aggregate,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,having_clause,basic,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
postgresql,basic_delete,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
postgresql,create_table_basic,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
postgresql,alter_table_add_column,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
postgresql,subquery_in,intermediate,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
postgresql,cte_basic,intermediate,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
postgresql,window_function_rank,intermediate,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,multiple_joins,intermediate,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
postgresql,case_statement,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
postgresql,coalesce_function,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,string_aggregation,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
postgresql,jsonb_operations,intermediate,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
postgresql,array_operations,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,date_truncation,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
postgresql,self_join,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,union_queries,intermediate,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
postgresql,exists_clause,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,window_lead_lag,intermediate,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,cross_join,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,full_outer_join,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,extract_date_parts,intermediate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
postgresql,conditional_aggregation,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
postgresql,row_number_pagination,intermediate,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
postgresql,regexp_matching,intermediate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
postgresql,recursive_cte,advanced,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
postgresql,multiple_ctes,advanced,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
postgresql,window_moving_average,advanced,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
