construct,n_pairs_with,n_pairs_without,n_noneq_with,n_noneq_without,noneq_rate_with,noneq_rate_without,lift
lateral,10,565,5,110,0.5,0.1947,2.57
pivot,10,565,4,111,0.4,0.1965,2.04
json,20,555,7,108,0.35,0.1946,1.8
window,50,525,17,98,0.34,0.1867,1.82
subquery,45,530,15,100,0.3333,0.1887,1.77
groupby,105,470,28,87,0.2667,0.1851,1.44
cte,30,545,7,108,0.2333,0.1982,1.18
recursive,10,565,2,113,0.2,0.2,1.0
having,25,550,5,110,0.2,0.2,1.0
dialect_specific,85,490,13,102,0.1529,0.2082,0.73
ddl,35,540,5,110,0.1429,0.2037,0.7
union,15,560,2,113,0.1333,0.2018,0.66
dml_nonsel,55,520,5,110,0.0909,0.2115,0.43
array,5,570,0,115,0.0,0.2018,0.0
case,15,560,0,115,0.0,0.2054,0.0
