query,src_folder,src_dialect,tgt_dialect,level_x,complexity,difficulty,parse_ok,transpile_ok,ast_equiv,latency_ms,error,name,level_y,cte,window,pivot,array,lateral,json,ddl,dml_nonsel,subquery,union,groupby,having,case,recursive,dialect_specific
simple_select,postgresql,postgres,postgres,basic,10,easy,True,True,True,4.01,,simple_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
simple_select,postgresql,postgres,mysql,basic,10,easy,True,True,True,3.28,,simple_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
simple_select,postgresql,postgres,tsql,basic,10,easy,True,True,True,5.425,,simple_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
simple_select,postgresql,postgres,oracle,basic,10,easy,True,True,True,2.441,,simple_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
simple_select,postgresql,postgres,snowflake,basic,10,easy,True,True,True,3.982,,simple_select,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
basic_insert,postgresql,postgres,postgres,basic,15,easy,True,True,True,0.785,,basic_insert,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
basic_insert,postgresql,postgres,mysql,basic,15,easy,True,True,True,0.497,,basic_insert,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
basic_insert,postgresql,postgres,tsql,basic,15,easy,True,True,True,0.47,,basic_insert,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
basic_insert,postgresql,postgres,oracle,basic,15,easy,True,True,True,0.431,,basic_insert,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
basic_insert,postgresql,postgres,snowflake,basic,15,easy,True,True,True,0.466,,basic_insert,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
basic_update,postgresql,postgres,postgres,basic,15,easy,True,True,True,0.492,,basic_update,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
basic_update,postgresql,postgres,mysql,basic,15,easy,True,True,True,0.304,,basic_update,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
basic_update,postgresql,postgres,tsql,basic,15,easy,True,True,True,0.315,,basic_update,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
basic_update,postgresql,postgres,oracle,basic,15,easy,True,True,True,0.291,,basic_update,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
basic_update,postgresql,postgres,snowflake,basic,15,easy,True,True,True,0.292,,basic_update,basic,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
simple_join,postgresql,postgres,postgres,basic,20,easy,True,True,True,0.901,,simple_join,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
simple_join,postgresql,postgres,mysql,basic,20,easy,True,True,True,0.557,,simple_join,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
simple_join,postgresql,postgres,tsql,basic,20,easy,True,True,True,0.553,,simple_join,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
simple_join,postgresql,postgres,oracle,basic,20,easy,True,True,True,0.487,,simple_join,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
simple_join,postgresql,postgres,snowflake,basic,20,easy,True,True,True,0.685,,simple_join,basic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
