query,src_folder,difficulty,n_noneq_targets
listen_notify,postgresql,hard,5
generate_series_dates,postgresql,hard,4
full_text_search,postgresql,hard,4
qualify_clause,snowflake,medium,4
jsonb_operations,postgresql,medium,4
insert_ignore,mysql,hard,4
try_convert,sqlserver,medium,4
date_format,mysql,medium,4
format_function,sqlserver,medium,3
array_agg,postgresql,hard,3
decode_function,oracle,medium,3
lateral_join,postgresql,hard,3
limit_offset,snowflake,easy,3
order_by_limit,postgresql,easy,3
cte_with_window,snowflake,hard,3
iff_function,snowflake,medium,3
iif_function,sqlserver,medium,3
to_char_date,oracle,medium,3
analytical_functions,oracle,hard,2
string_aggregation,postgresql,medium,2
