dataset,target_prevalence,f1_fixed_tau,f1_oracle_tau,fixed_oracle_gap
D1,0.01,0.5112,0.5115,0.0003
D1,0.02,0.5112,0.5115,0.0003
D1,0.03,0.5112,0.5115,0.0003
D1,0.05,0.5133,0.5136,0.0003
D1,0.07,0.5591,0.5669,0.0078
D1,0.1,0.5953,0.623,0.0277
D1,0.15,0.6251,0.6782,0.0531
D1,0.2,0.6477,0.7132,0.0655
D1,0.25,0.6546,0.7289,0.0743
D1,0.3,0.6602,0.7567,0.0965
D2,0.01,0.359,0.359,-0.0
D2,0.02,0.359,0.359,-0.0
D2,0.03,0.359,0.359,-0.0
D2,0.05,0.3613,0.3613,-0.0
D2,0.07,0.4294,0.4294,-0.0
D2,0.1,0.5005,0.5006,0.0001
D2,0.15,0.5769,0.5806,0.0037
D2,0.2,0.6228,0.6297,0.0069
D2,0.25,0.6543,0.6655,0.0112
D2,0.3,0.676,0.6886,0.0126
D3,0.01,0.7172,0.7172,-0.0
D3,0.02,0.7172,0.7172,-0.0
D3,0.03,0.7172,0.7172,-0.0
D3,0.05,0.7172,0.7172,-0.0
D3,0.07,0.7631,0.7743,0.0112
D3,0.1,0.7964,0.8309,0.0345
D3,0.15,0.8259,0.8874,0.0615
D3,0.2,0.844,0.9197,0.0757
D3,0.25,0.8543,0.941,0.0867
D3,0.3,0.8559,0.9554,0.0995
