dataset,target_prevalence,actual_prevalence,n_pos,n_neg,n_total,f1_fixed_tau,prec_fixed_tau,rec_fixed_tau,auc_pr,f1_oracle_tau,fixed_oracle_gap
D1,0.01,0.0495,2498,48002,50500,0.5112,0.494,0.5296,0.4642,0.5115,0.0003
D1,0.02,0.0495,2498,48002,50500,0.5112,0.494,0.5296,0.4642,0.5115,0.0003
D1,0.03,0.0495,2498,48002,50500,0.5112,0.494,0.5296,0.4642,0.5115,0.0003
D1,0.05,0.05,2498,47461,49959,0.5133,0.4979,0.5296,0.4683,0.5136,0.0003
D1,0.07,0.07,2498,33187,35685,0.5591,0.5919,0.5296,0.5361,0.5669,0.0078
D1,0.1,0.1,2498,22482,24980,0.5953,0.6795,0.5296,0.6004,0.623,0.0277
D1,0.15,0.15,2498,14155,16653,0.6251,0.7625,0.5296,0.6793,0.6782,0.0531
D1,0.2,0.2,2498,9992,12490,0.6477,0.8336,0.5296,0.7391,0.7132,0.0655
D1,0.25,0.25,2498,7494,9992,0.6546,0.8569,0.5296,0.768,0.7289,0.0743
D1,0.3,0.3,2498,5828,8326,0.6602,0.8762,0.5296,0.799,0.7567,0.0965
D2,0.01,0.0495,10000,192000,202000,0.359,0.2519,0.6247,0.2105,0.359,-0.0
D2,0.02,0.0495,10000,192000,202000,0.359,0.2519,0.6247,0.2105,0.359,-0.0
D2,0.03,0.0495,10000,192000,202000,0.359,0.2519,0.6247,0.2105,0.359,-0.0
D2,0.05,0.05,10000,190000,200000,0.3613,0.2541,0.6247,0.2122,0.3613,-0.0
D2,0.07,0.07,10000,132857,142857,0.4294,0.3271,0.6247,0.2693,0.4294,-0.0
D2,0.1,0.1,10000,90000,100000,0.5005,0.4176,0.6247,0.3445,0.5006,0.0001
D2,0.15,0.15,10000,56666,66666,0.5769,0.5359,0.6247,0.4444,0.5806,0.0037
D2,0.2,0.2,10000,40000,50000,0.6228,0.621,0.6247,0.5195,0.6297,0.0069
D2,0.25,0.25,10000,30000,40000,0.6543,0.6869,0.6247,0.5856,0.6655,0.0112
D2,0.3,0.3,10000,23333,33333,0.676,0.7364,0.6247,0.6372,0.6886,0.0126
D3,0.01,0.05,1500,28500,30000,0.7172,0.6594,0.786,0.8164,0.7172,-0.0
D3,0.02,0.05,1500,28500,30000,0.7172,0.6594,0.786,0.8164,0.7172,-0.0
D3,0.03,0.05,1500,28500,30000,0.7172,0.6594,0.786,0.8164,0.7172,-0.0
D3,0.05,0.05,1500,28500,30000,0.7172,0.6594,0.786,0.8164,0.7172,-0.0
D3,0.07,0.07,1500,19928,21428,0.7631,0.7415,0.786,0.8598,0.7743,0.0112
D3,0.1,0.1,1500,13500,15000,0.7964,0.807,0.786,0.8927,0.8309,0.0345
D3,0.15,0.15,1500,8500,10000,0.8259,0.8701,0.786,0.9281,0.8874,0.0615
D3,0.2,0.2,1500,6000,7500,0.844,0.9111,0.786,0.9489,0.9197,0.0757
D3,0.25,0.25,1500,4500,6000,0.8543,0.9357,0.786,0.9629,0.941,0.0867
D3,0.3,0.3,1500,3500,5000,0.8559,0.9394,0.786,0.9692,0.9554,0.0995
