table,cell,committed_f1,committed_auc_pr,status,committed_recall,committed_value
Table 2 (baseline),D1 × rule,0.47,0.259,VERIFIED,,
Table 2 (baseline),D1 × stat,0.158,0.077,VERIFIED,,
Table 2 (baseline),D1 × iforest,0.427,0.246,VERIFIED,,
Table 2 (baseline),D1 × lof,0.146,0.083,VERIFIED,,
Table 2 (baseline),D1 × hybrid,0.368,0.185,VERIFIED,,
Table 2 (baseline),D1 × hybrid_lr,0.511,0.464,VERIFIED,,
Table 2 (baseline),D2 × rule,0.341,0.153,VERIFIED,,
Table 2 (baseline),D2 × stat,0.134,0.068,VERIFIED,,
Table 2 (baseline),D2 × iforest,0.361,0.214,VERIFIED,,
Table 2 (baseline),D2 × lof,0.104,0.052,VERIFIED,,
Table 2 (baseline),D2 × hybrid,0.366,0.22,VERIFIED,,
Table 2 (baseline),D2 × hybrid_lr,0.359,0.21,VERIFIED,,
Table 2 (baseline),D3 × rule,0.7,0.759,VERIFIED,,
Table 2 (baseline),D3 × stat,0.185,0.098,VERIFIED,,
Table 2 (baseline),D3 × iforest,0.614,0.556,VERIFIED,,
Table 2 (baseline),D3 × lof,0.1,0.063,VERIFIED,,
Table 2 (baseline),D3 × hybrid,0.698,0.682,VERIFIED,,
Table 2 (baseline),D3 × hybrid_lr,0.717,0.816,VERIFIED,,
Table 3 (per_family),D1 × A1_sign_flip,,,VERIFIED,0.73,
Table 3 (per_family),D1 × A2_magnitude_outlier,,,VERIFIED,0.034,
Table 3 (per_family),D1 × A3_tag_mismatch,,,VERIFIED,0.022,
Table 3 (per_family),D1 × A4_period_violation,,,VERIFIED,0.944,
Table 3 (per_family),D1 × A5_duplicate_posting,,,VERIFIED,0.918,
Table 3 (per_family),D2 × B1_ot_regular_inconsistency,,,VERIFIED,0.944,
Table 3 (per_family),D2 × B2_salary_basis_mismatch,,,VERIFIED,0.994,
Table 3 (per_family),D2 × B3_near_duplicate_name,,,VERIFIED,0.091,
Table 3 (per_family),D2 × B4_agency_title_violation,,,VERIFIED,0.421,
Table 3 (per_family),D2 × B5_magnitude_outlier,,,VERIFIED,0.674,
Table 3 (per_family),D3 × C1_education_out_of_domain,,,VERIFIED,1.0,
Table 3 (per_family),D3 × C2_limitbal_inconsistency,,,VERIFIED,0.97,
Table 3 (per_family),D3 × C3_bill_sign_violation,,,VERIFIED,0.0,
Table 3 (per_family),D3 × C4_pay_temporal_violation,,,VERIFIED,0.96,
Table 3 (per_family),D3 × C5_age_range_violation,,,VERIFIED,1.0,
Table 4 (ablation),D1 leave_out=none,0.5115,,VERIFIED,,
Table 4 (ablation),D1 leave_out=rule,0.5139,,VERIFIED,,
Table 4 (ablation),D1 leave_out=stat,0.4486,,VERIFIED,,
Table 4 (ablation),D1 leave_out=iforest,0.483,,VERIFIED,,
Table 4 (ablation),D1 leave_out=lof,0.5104,,VERIFIED,,
Table 4 (ablation),D2 leave_out=none,0.359,,VERIFIED,,
Table 4 (ablation),D2 leave_out=rule,0.3779,,VERIFIED,,
Table 4 (ablation),D2 leave_out=stat,0.357,,VERIFIED,,
Table 4 (ablation),D2 leave_out=iforest,0.3453,,VERIFIED,,
Table 4 (ablation),D2 leave_out=lof,0.3588,,VERIFIED,,
Table 4 (ablation),D3 leave_out=none,0.7172,,VERIFIED,,
Table 4 (ablation),D3 leave_out=rule,0.69,,VERIFIED,,
Table 4 (ablation),D3 leave_out=stat,0.7022,,VERIFIED,,
Table 4 (ablation),D3 leave_out=iforest,0.7256,,VERIFIED,,
Table 4 (ablation),D3 leave_out=lof,0.7062,,VERIFIED,,
Table 7 (sql_migration_summary),n_queries,,,VERIFIED,,115.0
Table 7 (sql_migration_summary),n_pairs,,,VERIFIED,,575.0
Table 7 (sql_migration_summary),parse_rate,,,VERIFIED,,0.991304347826087
Table 7 (sql_migration_summary),transpile_rate,,,VERIFIED,,0.991304347826087
Table 7 (sql_migration_summary),ast_equiv_rate,,,VERIFIED,,0.8
Table 7 (sql_migration_summary),latency_ms_mean,,,VERIFIED,,0.8775530434782608
Table 7 (sql_migration_summary),latency_ms_p95,,,VERIFIED,,2.108899999999997
