meta_learner,dataset,mean_ece_raw,mean_brier_raw,mean_ece_platt,mean_brier_platt
GBM,D1,0.0034,0.02871,0.0039,0.02935
GBM,D2,0.00511,0.0342,0.00339,0.03406
GBM,D3,0.00183,0.01212,0.00707,0.01356
LGB,D1,0.16746,0.07408,0.01002,0.02868
LGB,D2,0.25983,0.11415,0.0113,0.03346
LGB,D3,0.026,0.02487,0.01481,0.01608
LR,D1,0.26064,0.12676,0.00816,0.03876
LR,D2,0.32531,0.164,0.01151,0.04174
LR,D3,0.03962,0.03519,0.01736,0.01811
MLP,D1,0.00645,0.03233,0.00983,0.03348
MLP,D2,0.0035,0.0365,0.00673,0.03698
MLP,D3,0.00729,0.01372,0.00344,0.01463
RF,D1,0.03724,0.03928,0.00529,0.03268
RF,D2,0.07434,0.05361,0.01262,0.03563
RF,D3,0.00615,0.01288,0.00386,0.01436
XGB,D1,0.00302,0.02688,0.00406,0.0275
XGB,D2,0.00554,0.03276,0.0031,0.03261
XGB,D3,0.00122,0.01188,0.00597,0.01321
