seed,dataset,meta_learner,f1_nested,f1_oracle,source,oracle_gap,runtime_s,ece_raw,brier_raw,ece_platt,brier_platt
42,D1,LR,0.512,0.511,recovered_from_stdout,-0.001,,,,,
42,D1,RF,0.528,0.541,recovered_from_stdout,0.013,,,,,
42,D1,GBM,0.595,0.595,recovered_from_stdout,0.0,,,,,
42,D1,MLP,0.522,0.522,recovered_from_stdout,0.0,,,,,
42,D1,XGB,0.607,0.608,recovered_from_stdout,0.001,,,,,
42,D1,LGB,0.609,0.613,recovered_from_stdout,0.004,,,,,
42,D2,LR,0.359,0.359,recovered_from_stdout,0.0,,,,,
42,D2,RF,0.54,0.583,recovered_from_stdout,0.043,,,,,
42,D2,GBM,0.566,0.567,recovered_from_stdout,0.001,,,,,
42,D2,MLP,0.497,0.477,recovered_from_stdout,-0.02,,,,,
42,D2,XGB,0.577,0.578,recovered_from_stdout,0.001,,,,,
42,D2,LGB,0.604,0.605,recovered_from_stdout,0.001,,,,,
42,D3,LR,0.713,0.717,recovered_from_stdout,0.004,,,,,
42,D3,RF,0.705,0.756,recovered_from_stdout,0.051,,,,,
42,D3,GBM,0.751,0.752,recovered_from_stdout,0.001,,,,,
42,D3,MLP,0.713,0.72,recovered_from_stdout,0.007,,,,,
42,D3,XGB,0.762,0.762,recovered_from_stdout,0.0,,,,,
42,D3,LGB,0.751,0.756,recovered_from_stdout,0.005,,,,,
43,D1,LR,0.468,0.469,recovered_from_stdout,0.001,,,,,
43,D1,RF,0.512,0.517,recovered_from_stdout,0.005,,,,,
43,D1,GBM,0.603,0.604,recovered_from_stdout,0.001,,,,,
43,D1,MLP,0.569,0.559,recovered_from_stdout,-0.01,,,,,
43,D1,XGB,0.62,0.623,recovered_from_stdout,0.003,,,,,
43,D1,LGB,0.619,0.622,recovered_from_stdout,0.003,,,,,
43,D2,LR,0.369,0.37,recovered_from_stdout,0.001,,,,,
43,D2,RF,0.458,0.497,recovered_from_stdout,0.039,,,,,
