meta_learner,dataset,mean_oracle,mean_nested,mean_gap,std_oracle,std_nested
GBM,D1,0.5908,0.5888,0.002,0.0122,0.0124
GBM,D2,0.5117,0.5129,-0.0011,0.0205,0.0196
GBM,D3,0.7999,0.7933,0.0066,0.0174,0.0169
LGB,D1,0.6193,0.6152,0.0041,0.011,0.0122
LGB,D2,0.5519,0.5513,0.0006,0.0189,0.0187
LGB,D3,0.8019,0.7871,0.0148,0.0185,0.0156
LR,D1,0.4523,0.4525,-0.0001,0.0259,0.026
LR,D2,0.3724,0.3718,0.0005,0.0063,0.0061
LR,D3,0.782,0.7782,0.0039,0.0242,0.0249
MLP,D1,0.5302,0.5455,-0.0153,0.023,0.0159
MLP,D2,0.4538,0.4642,-0.0104,0.0135,0.0151
MLP,D3,0.7884,0.7863,0.0021,0.0251,0.027
RF,D1,0.5223,0.5142,0.0081,0.0092,0.0081
RF,D2,0.4967,0.462,0.0347,0.031,0.0278
RF,D3,0.7983,0.7901,0.0083,0.016,0.0309
XGB,D1,0.6159,0.6137,0.0022,0.0097,0.0102
XGB,D2,0.5347,0.5345,0.0002,0.0156,0.0154
XGB,D3,0.8049,0.7995,0.0054,0.0161,0.015
