seed,dataset,meta_learner,f1_nested,f1_oracle,source
42,D1,LR,0.512,0.511,recovered_from_stdout
42,D1,RF,0.528,0.541,recovered_from_stdout
42,D1,GBM,0.595,0.595,recovered_from_stdout
42,D1,MLP,0.522,0.522,recovered_from_stdout
42,D1,XGB,0.607,0.608,recovered_from_stdout
42,D1,LGB,0.609,0.613,recovered_from_stdout
42,D2,LR,0.359,0.359,recovered_from_stdout
42,D2,RF,0.540,0.583,recovered_from_stdout
42,D2,GBM,0.566,0.567,recovered_from_stdout
42,D2,MLP,0.497,0.477,recovered_from_stdout
42,D2,XGB,0.577,0.578,recovered_from_stdout
42,D2,LGB,0.604,0.605,recovered_from_stdout
42,D3,LR,0.713,0.717,recovered_from_stdout
42,D3,RF,0.705,0.756,recovered_from_stdout
42,D3,GBM,0.751,0.752,recovered_from_stdout
42,D3,MLP,0.713,0.720,recovered_from_stdout
42,D3,XGB,0.762,0.762,recovered_from_stdout
42,D3,LGB,0.751,0.756,recovered_from_stdout
43,D1,LR,0.468,0.469,recovered_from_stdout
43,D1,RF,0.512,0.517,recovered_from_stdout
43,D1,GBM,0.603,0.604,recovered_from_stdout
43,D1,MLP,0.569,0.559,recovered_from_stdout
43,D1,XGB,0.620,0.623,recovered_from_stdout
43,D1,LGB,0.619,0.622,recovered_from_stdout
43,D2,LR,0.369,0.370,recovered_from_stdout
43,D2,RF,0.458,0.497,recovered_from_stdout
43,D2,GBM,0.515,0.515,recovered_from_stdout
43,D2,MLP,0.471,0.463,recovered_from_stdout
43,D2,XGB,0.533,0.533,recovered_from_stdout
43,D2,LGB,0.547,0.547,recovered_from_stdout
43,D3,LR,0.807,0.806,recovered_from_stdout
43,D3,RF,0.806,0.808,recovered_from_stdout
43,D3,GBM,0.805,0.809,recovered_from_stdout
43,D3,MLP,0.804,0.807,recovered_from_stdout
43,D3,XGB,0.814,0.817,recovered_from_stdout
43,D3,LGB,0.793,0.813,recovered_from_stdout
44,D1,LR,0.466,0.466,recovered_from_stdout
