dataset,meta_learner,mean_oracle_delta,mean_nested_delta,t_p_oracle,wilcoxon_p_oracle,t_p_nested,wilcoxon_p_nested,n_seeds,holm_p_nested
D1,RF,0.07,0.0617,0.0,0.002,0.0,0.002,10,0.0
D1,GBM,0.1384,0.1363,0.0,0.002,0.0,0.002,10,0.0
D1,MLP,0.0778,0.093,0.0001,0.002,0.0,0.002,10,0.0
D1,XGB,0.1635,0.1612,0.0,0.002,0.0,0.002,10,0.0
D1,LGB,0.167,0.1627,0.0,0.002,0.0,0.002,10,0.0
D2,RF,0.1244,0.0902,0.0,0.002,0.0,0.002,10,0.0
D2,GBM,0.1394,0.141,0.0,0.002,0.0,0.002,10,0.0
D2,MLP,0.0815,0.0924,0.0,0.002,0.0,0.002,10,0.0
D2,XGB,0.1623,0.1626,0.0,0.002,0.0,0.002,10,0.0
D2,LGB,0.1796,0.1795,0.0,0.002,0.0,0.002,10,0.0
D3,RF,0.0163,0.0119,0.0008,0.002,0.0126,0.0352,10,0.0252
D3,GBM,0.0179,0.0152,0.0001,0.002,0.0079,0.0254,10,0.0316
D3,MLP,0.0064,0.0082,0.0004,0.002,0.0083,0.0156,10,0.0249
D3,XGB,0.0229,0.0214,0.0,0.002,0.0004,0.002,10,0.002
D3,LGB,0.0199,0.0089,0.0003,0.002,0.1007,0.1055,10,0.1007
