dataset,target_prevalence,actual_prevalence,n_pos,n_neg,n_total,f1_fixed_tau,precision_fixed_tau,recall_fixed_tau,auc_pr,f1_oracle,sweep_method
D1,0.01,0.01,484,48002,48486,0.2544,0.1651,0.5537,0.2007,0.3062,corrected_anomalous_subsample
D1,0.02,0.02,979,48002,48981,0.365,0.2777,0.5322,0.2988,0.3905,corrected_anomalous_subsample
D1,0.03,0.03,1484,48002,49486,0.4298,0.3644,0.5236,0.3591,0.4404,corrected_anomalous_subsample
D1,0.05,0.0495,2498,48002,50500,0.5115,0.4942,0.53,0.4642,0.5115,corrected_anomalous_subsample
D1,0.07,0.0495,2498,48002,50500,0.5115,0.4942,0.53,0.4642,0.5115,corrected_anomalous_subsample
D1,0.1,0.0495,2498,48002,50500,0.5115,0.4942,0.53,0.4642,0.5115,corrected_anomalous_subsample
D1,0.15,0.0495,2498,48002,50500,0.5115,0.4942,0.53,0.4642,0.5115,corrected_anomalous_subsample
D1,0.2,0.0495,2498,48002,50500,0.5115,0.4942,0.53,0.4642,0.5115,corrected_anomalous_subsample
D1,0.25,0.0495,2498,48002,50500,0.5115,0.4942,0.53,0.4642,0.5115,corrected_anomalous_subsample
D1,0.3,0.0495,2498,48002,50500,0.5115,0.4942,0.53,0.4642,0.5115,corrected_anomalous_subsample
D2,0.01,0.01,1939,192000,193939,0.1114,0.0612,0.6235,0.06,0.1125,corrected_anomalous_subsample
D2,0.02,0.02,3918,192000,195918,0.1954,0.1159,0.621,0.1074,0.196,corrected_anomalous_subsample
D2,0.03,0.03,5938,192000,197938,0.262,0.166,0.6219,0.143,0.2622,corrected_anomalous_subsample
D2,0.05,0.0495,10000,192000,202000,0.359,0.2519,0.6247,0.2105,0.359,corrected_anomalous_subsample
D2,0.07,0.0495,10000,192000,202000,0.359,0.2519,0.6247,0.2105,0.359,corrected_anomalous_subsample
D2,0.1,0.0495,10000,192000,202000,0.359,0.2519,0.6247,0.2105,0.359,corrected_anomalous_subsample
D2,0.15,0.0495,10000,192000,202000,0.359,0.2519,0.6247,0.2105,0.359,corrected_anomalous_subsample
D2,0.2,0.0495,10000,192000,202000,0.359,0.2519,0.6247,0.2105,0.359,corrected_anomalous_subsample
D2,0.25,0.0495,10000,192000,202000,0.359,0.2519,0.6247,0.2105,0.359,corrected_anomalous_subsample
D2,0.3,0.0495,10000,192000,202000,0.359,0.2519,0.6247,0.2105,0.359,corrected_anomalous_subsample
D3,0.01,0.01,287,28500,28787,0.4057,0.2724,0.7944,0.5964,0.5792,corrected_anomalous_subsample
D3,0.02,0.02,581,28500,29081,0.5576,0.4303,0.7917,0.6996,0.5898,corrected_anomalous_subsample
D3,0.03,0.03,881,28500,29381,0.6393,0.5348,0.7946,0.7506,0.6393,corrected_anomalous_subsample
D3,0.05,0.05,1500,28500,30000,0.7172,0.6594,0.786,0.8164,0.7172,corrected_anomalous_subsample
D3,0.07,0.05,1500,28500,30000,0.7172,0.6594,0.786,0.8164,0.7172,corrected_anomalous_subsample
D3,0.1,0.05,1500,28500,30000,0.7172,0.6594,0.786,0.8164,0.7172,corrected_anomalous_subsample
D3,0.15,0.05,1500,28500,30000,0.7172,0.6594,0.786,0.8164,0.7172,corrected_anomalous_subsample
D3,0.2,0.05,1500,28500,30000,0.7172,0.6594,0.786,0.8164,0.7172,corrected_anomalous_subsample
D3,0.25,0.05,1500,28500,30000,0.7172,0.6594,0.786,0.8164,0.7172,corrected_anomalous_subsample
D3,0.3,0.05,1500,28500,30000,0.7172,0.6594,0.786,0.8164,0.7172,corrected_anomalous_subsample
