dataset,target_prevalence,f1_fixed_tau,f1_oracle,f1_e7_fixed,f1_e7_oracle,delta_fixed
D1,0.01,0.2544,0.3062,0.5112,0.5115,-0.2568
D1,0.02,0.365,0.3905,0.5112,0.5115,-0.1462
D1,0.03,0.4298,0.4404,0.5112,0.5115,-0.0814
D1,0.05,0.5115,0.5115,0.5133,0.5136,-0.0018
D1,0.07,0.5115,0.5115,0.5591,0.5669,-0.0476
D1,0.1,0.5115,0.5115,0.5953,0.623,-0.0838
D1,0.15,0.5115,0.5115,0.6251,0.6782,-0.1136
D1,0.2,0.5115,0.5115,0.6477,0.7132,-0.1362
D1,0.25,0.5115,0.5115,0.6546,0.7289,-0.1431
D1,0.3,0.5115,0.5115,0.6602,0.7567,-0.1487
D2,0.01,0.1114,0.1125,0.359,0.359,-0.2476
D2,0.02,0.1954,0.196,0.359,0.359,-0.1636
D2,0.03,0.262,0.2622,0.359,0.359,-0.097
D2,0.05,0.359,0.359,0.3613,0.3613,-0.0023
D2,0.07,0.359,0.359,0.4294,0.4294,-0.0704
D2,0.1,0.359,0.359,0.5005,0.5006,-0.1415
D2,0.15,0.359,0.359,0.5769,0.5806,-0.2179
D2,0.2,0.359,0.359,0.6228,0.6297,-0.2638
D2,0.25,0.359,0.359,0.6543,0.6655,-0.2953
D2,0.3,0.359,0.359,0.676,0.6886,-0.317
D3,0.01,0.4057,0.5792,0.7172,0.7172,-0.3115
D3,0.02,0.5576,0.5898,0.7172,0.7172,-0.1596
D3,0.03,0.6393,0.6393,0.7172,0.7172,-0.0779
D3,0.05,0.7172,0.7172,0.7172,0.7172,0.0
D3,0.07,0.7172,0.7172,0.7631,0.7743,-0.0459
D3,0.1,0.7172,0.7172,0.7964,0.8309,-0.0792
D3,0.15,0.7172,0.7172,0.8259,0.8874,-0.1087
D3,0.2,0.7172,0.7172,0.844,0.9197,-0.1268
D3,0.25,0.7172,0.7172,0.8543,0.941,-0.1371
D3,0.3,0.7172,0.7172,0.8559,0.9554,-0.1387
