src_dialect,tgt_dialect,n_queries,transpile_rate,footprint_committed,footprint_recomputed,strict_text_roundtrip,exec_equiv_src2dkdb,fp_mismatch_rate
mysql,mysql,20,1.0,1.0,1.0,0.0,,0.0
mysql,oracle,20,1.0,0.85,0.85,0.0,,0.0
mysql,postgres,20,1.0,0.75,0.75,0.0,,0.0
mysql,snowflake,20,1.0,0.8,0.8,0.0,,0.0
mysql,tsql,20,1.0,0.8,0.8,0.0,,0.0
oracle,mysql,13,1.0,0.4615,0.4615,0.0,,0.0
oracle,oracle,13,1.0,1.0,1.0,0.0,,0.0
oracle,postgres,13,1.0,0.7692,0.7692,0.0,,0.0
oracle,snowflake,13,1.0,1.0,1.0,0.0,,0.0
oracle,tsql,13,1.0,0.5385,0.5385,0.0,,0.0
postgres,mysql,55,0.9818,0.6727,0.6852,0.0,,0.0
postgres,oracle,55,0.9818,0.8909,0.9074,0.0,,0.0
postgres,postgres,55,0.9818,0.9818,1.0,0.0,,0.0
postgres,snowflake,55,0.9818,0.8727,0.8889,0.0,,0.0
postgres,tsql,55,0.9818,0.7091,0.7222,0.0,,0.0
snowflake,mysql,14,1.0,0.6429,0.6429,0.0,,0.0
snowflake,oracle,14,1.0,0.7857,0.7857,0.0,,0.0
snowflake,postgres,14,1.0,0.5714,0.5714,0.0,,0.0
snowflake,snowflake,14,1.0,1.0,1.0,0.0,,0.0
snowflake,tsql,14,1.0,0.6429,0.6429,0.0,,0.0
tsql,mysql,13,1.0,0.6154,0.6154,0.0,,0.0
tsql,oracle,13,1.0,0.6923,0.6923,0.0,,0.0
tsql,postgres,13,1.0,0.6923,0.6923,0.0,,0.0
tsql,snowflake,13,1.0,0.8462,0.8462,0.0,,0.0
tsql,tsql,13,1.0,0.9231,0.9231,0.0,,0.0
