query_id,dataset,stratum,result_type,description,ref_ok,n_reinstated_c7,C1_dirty_src_rel_err,C1_dirty_src_abs_err,C1_dirty_src_jaccard,C1_dirty_src_missing_rows,C1_dirty_src_extra_rows,C1_dirty_src_row_delta,C1_dirty_src_mean_col_rel_err,C1_dirty_src_median_col_rel_err,C1_dirty_src_max_col_rel_err,C1_dirty_src_exec_error,C2_dirty_trans_rel_err,C2_dirty_trans_abs_err,C2_dirty_trans_jaccard,C2_dirty_trans_missing_rows,C2_dirty_trans_extra_rows,C2_dirty_trans_row_delta,C2_dirty_trans_mean_col_rel_err,C2_dirty_trans_median_col_rel_err,C2_dirty_trans_max_col_rel_err,C2_dirty_trans_exec_error,C3_clean_src_rel_err,C3_clean_src_abs_err,C3_clean_src_jaccard,C3_clean_src_missing_rows,C3_clean_src_extra_rows,C3_clean_src_row_delta,C3_clean_src_mean_col_rel_err,C3_clean_src_median_col_rel_err,C3_clean_src_max_col_rel_err,C3_clean_src_exec_error,C4_clean_trans_rel_err,C4_clean_trans_abs_err,C4_clean_trans_jaccard,C4_clean_trans_missing_rows,C4_clean_trans_extra_rows,C4_clean_trans_row_delta,C4_clean_trans_mean_col_rel_err,C4_clean_trans_median_col_rel_err,C4_clean_trans_max_col_rel_err,C4_clean_trans_exec_error,C5_repaired_src_rel_err,C5_repaired_src_abs_err,C5_repaired_src_jaccard,C5_repaired_src_missing_rows,C5_repaired_src_extra_rows,C5_repaired_src_row_delta,C5_repaired_src_mean_col_rel_err,C5_repaired_src_median_col_rel_err,C5_repaired_src_max_col_rel_err,C5_repaired_src_exec_error,C6_repaired_trans_rel_err,C6_repaired_trans_abs_err,C6_repaired_trans_jaccard,C6_repaired_trans_missing_rows,C6_repaired_trans_extra_rows,C6_repaired_trans_row_delta,C6_repaired_trans_mean_col_rel_err,C6_repaired_trans_median_col_rel_err,C6_repaired_trans_max_col_rel_err,C6_repaired_trans_exec_error,C7_coupled_src_rel_err,C7_coupled_src_abs_err,C7_coupled_src_jaccard,C7_coupled_src_missing_rows,C7_coupled_src_extra_rows,C7_coupled_src_row_delta,C7_coupled_src_mean_col_rel_err,C7_coupled_src_median_col_rel_err,C7_coupled_src_max_col_rel_err,C7_coupled_src_exec_error
T01,D2,targeted,scalar,Total OT pay across all employees,True,24620,0.01561322,16934460.49,0.0,0,0,0,0.01561322,0.01561322,0.01561322,,0.01561322,16934460.49,0.0,0,0,0,0.01561322,0.01561322,0.01561322,,0.26682485,289404446.98,0.0,0,0,0,0.26682485,0.26682485,0.26682485,,0.26682485,289404446.98,0.0,0,0,0,0.26682485,0.26682485,0.26682485,,0.00800697,8684550.77,0.0,0,0,0,0.00800697,0.00800697,0.00800697,,0.00800697,8684550.77,0.0,0,0,0,0.00800697,0.00800697,0.00800697,,0.01300124,14101452.33,0.0,0,0,0,0.01300124,0.01300124,0.01300124,
T02,D2,targeted,scalar,Count employees with OT pay and zero regular hours,True,24620,0.4254386,2037.0,0.0,0,0,0,0.4254386,0.4254386,0.4254386,,0.4254386,2037.0,0.0,0,0,0,0.4254386,0.4254386,0.4254386,,0.96303258,4611.0,0.0,0,0,0,0.96303258,0.96303258,0.96303258,,0.96303258,4611.0,0.0,0,0,0,0.96303258,0.96303258,0.96303258,,0.02360067,113.0,0.0,0,0,0,0.02360067,0.02360067,0.02360067,,0.02360067,113.0,0.0,0,0,0,0.02360067,0.02360067,0.02360067,,0.41771094,2000.0,0.0,0,0,0,0.41771094,0.41771094,0.41771094,
T03,D2,targeted,scalar,Average regular gross pay,True,24620,0.0762096,3951.64,0.0,0,0,0,0.0762096,0.0762096,0.0762096,,0.0762096,3951.64,0.0,0,0,0,0.0762096,0.0762096,0.0762096,,0.00733218,380.19,0.0,0,0,0,0.00733218,0.00733218,0.00733218,,0.00733218,380.19,0.0,0,0,0,0.00733218,0.00733218,0.00733218,,0.00327797,169.97,0.0,0,0,0,0.00327797,0.00327797,0.00327797,,0.00327797,169.97,0.0,0,0,0,0.00327797,0.00327797,0.00327797,,0.07645973,3964.61,0.0,0,0,0,0.07645973,0.07645973,0.07645973,
T04,D2,targeted,scalar,Count employees with gross pay above 200k,True,24620,1.25547445,1204.0,0.0,0,0,0,1.25547445,1.25547445,1.25547445,,1.25547445,1204.0,0.0,0,0,0,1.25547445,1.25547445,1.25547445,,0.9801877,940.0,0.0,0,0,0,0.9801877,0.9801877,0.9801877,,0.9801877,940.0,0.0,0,0,0,0.9801877,0.9801877,0.9801877,,0.01876955,18.0,0.0,0,0,0,0.01876955,0.01876955,0.01876955,,0.01876955,18.0,0.0,0,0,0,0.01876955,0.01876955,0.01876955,,1.24921794,1198.0,0.0,0,0,0,1.24921794,1.24921794,1.24921794,
T05,D2,targeted,table,Top-5 agencies by total OT pay,True,24620,1.0,,0.0,5,5,0,0.01132132,0.01066924,0.01314849,,1.0,,0.0,5,5,0,0.01132132,0.01066924,0.01314849,,1.0,,0.0,5,5,0,0.29833037,0.30801799,0.43974031,,1.0,,0.0,5,5,0,0.29833037,0.30801799,0.43974031,,1.0,,0.0,5,5,0,0.0076803,0.00726341,0.01209903,,1.0,,0.0,5,5,0,0.0076803,0.00726341,0.01209903,,1.0,,0.0,5,5,0,0.0077634,0.00738633,0.01220579,
T06,D2,targeted,scalar,OT-to-gross ratio across all employees,True,24620,0.06596558,0.0069,0.0,0,0,0,0.06596558,0.06596558,0.06596558,,0.06596558,0.0069,0.0,0,0,0,0.06596558,0.06596558,0.06596558,,0.17877629,0.0187,0.0,0,0,0,0.17877629,0.17877629,0.17877629,,0.17877629,0.0187,0.0,0,0,0,0.17877629,0.17877629,0.17877629,,0.00478011,0.0005,0.0,0,0,0,0.00478011,0.00478011,0.00478011,,0.00478011,0.0005,0.0,0,0,0,0.00478011,0.00478011,0.00478011,,0.06787763,0.0071,0.0,0,0,0,0.06787763,0.06787763,0.06787763,
T07,D2,targeted,table,Average gross pay per title (ILIKE filter),True,24620,0.82352941,,0.1765,7,7,0,0.02123463,0.010673,0.10319067,,0.82352941,,0.1765,7,7,0,0.02123463,0.010673,0.10319067,,0.75,,0.25,6,6,0,0.0155225,7.241e-05,0.10647684,,0.75,,0.25,6,6,0,0.0155225,7.241e-05,0.10647684,,0.57142857,,0.4286,4,4,0,0.00111589,0.0,0.00606766,,0.57142857,,0.4286,4,4,0,0.00111589,0.0,0.00606766,,0.82352941,,0.1765,7,7,0,0.02139009,0.010673,0.10443439,
T08,D2,targeted,scalar,Count distinct title descriptions,True,24620,0.00081103,1.0,0.0,0,0,0,0.00081103,0.00081103,0.00081103,,0.00081103,1.0,0.0,0,0,0,0.00081103,0.00081103,0.00081103,,0.11922141,147.0,0.0,0,0,0,0.11922141,0.11922141,0.11922141,,0.11922141,147.0,0.0,0,0,0,0.11922141,0.11922141,0.11922141,,0.00162206,2.0,0.0,0,0,0,0.00162206,0.00162206,0.00162206,,0.00162206,2.0,0.0,0,0,0,0.00162206,0.00162206,0.00162206,,0.00081103,1.0,0.0,0,0,0,0.00081103,0.00081103,0.00081103,
T09,D2,targeted,scalar,Percentile-90 of regular gross pay,True,24620,0.00359637,449.77,0.0,0,0,0,0.00359637,0.00359637,0.00359637,,0.00359637,449.77,0.0,0,0,0,0.00359637,0.00359637,0.00359637,,0.03485333,4358.84,0.0,0,0,0,0.03485333,0.03485333,0.03485333,,0.03485333,4358.84,0.0,0,0,0,0.03485333,0.03485333,0.03485333,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,,0.00359637,449.77,0.0,0,0,0,0.00359637,0.00359637,0.00359637,
T10,D2,targeted,table,Window-rank of total OT pay per agency,True,24620,1.0,,0.0,5,5,0,0.00566066,0.00486846,0.01314849,,1.0,,0.0,5,5,0,0.00566066,0.00486846,0.01314849,,1.0,,0.0,5,5,0,0.19416519,0.21326933,0.43974031,,1.0,,0.0,5,5,0,0.19416519,0.21326933,0.43974031,,1.0,,0.0,5,5,0,0.00384015,0.00184568,0.01209903,,1.0,,0.0,5,5,0,0.00384015,0.00184568,0.01209903,,1.0,,0.0,5,5,0,0.0038817,0.00189699,0.01220579,
