dataset,leave_out,detector,auc_pr,best_threshold,precision,recall,f1,balanced_acc,fpr_at_best_f1
D1,none,hybrid_xgb,0.5402,0.8891,0.6199,0.5837,0.6012,0.7825,0.0186
D1,rule,hybrid_xgb,0.5417,0.8896,0.6126,0.5805,0.5961,0.7807,0.0191
D1,stat,hybrid_xgb,0.49,0.8889,0.5615,0.5588,0.5602,0.7681,0.0227
D1,iforest,hybrid_xgb,0.5003,0.8806,0.5132,0.6065,0.556,0.7883,0.0299
D1,lof,hybrid_xgb,0.5205,0.8482,0.5756,0.5881,0.5818,0.7828,0.0226
D2,none,hybrid_xgb,0.5228,0.8534,0.6097,0.5381,0.5717,0.7601,0.0179
D2,rule,hybrid_xgb,0.4762,0.8281,0.4648,0.5653,0.5102,0.7657,0.0339
D2,stat,hybrid_xgb,0.4224,0.8465,0.4338,0.4761,0.454,0.7219,0.0324
D2,iforest,hybrid_xgb,0.4065,0.7729,0.5351,0.4812,0.5067,0.7297,0.0218
D2,lof,hybrid_xgb,0.5188,0.8444,0.6027,0.545,0.5724,0.7631,0.0187
D3,none,hybrid_xgb,0.8736,0.8867,0.6748,0.8713,0.7605,0.9246,0.0221
D3,rule,hybrid_xgb,0.7329,0.8582,0.5817,0.9373,0.7179,0.9509,0.0355
D3,stat,hybrid_xgb,0.8451,0.8575,0.6183,0.9253,0.7413,0.9476,0.0301
D3,iforest,hybrid_xgb,0.8599,0.9004,0.6718,0.8473,0.7494,0.9128,0.0218
D3,lof,hybrid_xgb,0.8554,0.9191,0.7247,0.73,0.7273,0.8577,0.0146
