auc_pr,best_threshold,precision,recall,f1,balanced_acc,fpr_at_best_f1,f1_nested,dataset,detector
0.2589,0.6,0.3789,0.6177,0.4697,0.7825,0.0527,,D1,rule
0.0768,0.0879,0.0916,0.5765,0.1581,0.6395,0.2975,,D1,stat
0.2459,0.593,0.3429,0.5665,0.4272,0.755,0.0565,,D1,iforest
0.0833,0.0,0.118,0.1926,0.1463,0.5588,0.0749,,D1,lof
0.1845,0.3283,0.2504,0.697,0.3685,0.7942,0.1086,,D1,hybrid
0.4642,0.9216,0.4942,0.53,0.5115,0.7509,0.0282,0.5042,D1,hybrid_lr
0.5402,0.8891,0.6199,0.5837,0.6012,0.7825,0.0186,0.5987,D1,hybrid_xgb
0.1534,0.6,0.2595,0.4979,0.3412,0.712,0.074,,D2,rule
0.0676,0.254,0.0735,0.728,0.1336,0.6252,0.4777,,D2,stat
0.2144,0.4537,0.2648,0.5683,0.3613,0.7431,0.0822,,D2,iforest
0.052,0.0,0.0582,0.488,0.104,0.5385,0.4111,,D2,lof
0.2199,0.5266,0.2829,0.52,0.3664,0.7257,0.0687,,D2,hybrid
0.2105,0.671,0.2519,0.6247,0.359,0.764,0.0966,0.3587,D2,hybrid_lr
0.5228,0.8534,0.6097,0.5381,0.5717,0.7601,0.0179,0.5704,D2,hybrid_xgb
0.7587,0.6,0.6227,0.8,0.7003,0.8872,0.0255,,D3,rule
0.0981,0.1275,0.1136,0.4947,0.1848,0.6458,0.2031,,D3,stat
0.5559,0.4245,0.4622,0.9133,0.6138,0.9287,0.0559,,D3,iforest
0.0627,0.0508,0.061,0.274,0.0998,0.526,0.222,,D3,lof
0.6819,0.3436,0.5669,0.9067,0.6976,0.9351,0.0365,,D3,hybrid
0.8164,0.9539,0.6594,0.786,0.7172,0.8823,0.0214,0.7161,D3,hybrid_lr
0.8736,0.8867,0.6748,0.8713,0.7605,0.9246,0.0221,0.7506,D3,hybrid_xgb
