seed,dataset,detector,f1_oracle,f1_nested,auc_pr,precision,recall,best_threshold
42,D1,hybrid_xgb,0.6012,0.5987,0.5402,0.6199,0.5837,0.8891
42,D1,hybrid_lr,0.5115,0.5042,0.4642,0.4942,0.53,0.9216
42,D1,hybrid_fixed,0.3862,0.3861,0.2111,0.2756,0.6453,0.599
42,D2,hybrid_xgb,0.5717,0.5704,0.5228,0.6097,0.5381,0.8534
42,D2,hybrid_lr,0.359,0.3587,0.2105,0.2519,0.6247,0.671
42,D2,hybrid_fixed,0.1589,0.1589,0.0807,0.0929,0.5487,1.0
42,D3,hybrid_xgb,0.7605,0.7506,0.8736,0.6748,0.8713,0.8867
42,D3,hybrid_lr,0.7172,0.7161,0.8164,0.6594,0.786,0.9539
42,D3,hybrid_fixed,0.6729,0.6731,0.674,0.5745,0.812,0.6
43,D1,hybrid_xgb,0.6153,0.6123,0.6188,0.6024,0.6287,0.8321
43,D1,hybrid_lr,0.4688,0.4686,0.2758,0.3673,0.648,0.7924
43,D1,hybrid_fixed,0.3399,0.3381,0.1737,0.2252,0.6925,0.5745
43,D2,hybrid_xgb,0.5324,0.5317,0.5014,0.5357,0.5291,0.8597
43,D2,hybrid_lr,0.3699,0.3695,0.2374,0.2625,0.6256,0.6682
43,D2,hybrid_fixed,0.3644,0.3644,0.1964,0.2547,0.6401,0.6
43,D3,hybrid_xgb,0.8133,0.8066,0.9173,0.9413,0.716,0.9502
43,D3,hybrid_lr,0.8062,0.8034,0.8962,0.9349,0.7087,0.9511
43,D3,hybrid_fixed,0.4854,0.4855,0.3579,0.3927,0.6353,1.0
44,D1,hybrid_xgb,0.6078,0.6065,0.6118,0.6044,0.6112,0.8601
44,D1,hybrid_lr,0.4663,0.4653,0.2754,0.3637,0.6497,0.7919
44,D1,hybrid_fixed,0.3414,0.3415,0.1746,0.2261,0.697,0.5748
44,D2,hybrid_xgb,0.5251,0.5236,0.4859,0.5376,0.5132,0.8725
44,D2,hybrid_lr,0.379,0.3786,0.2432,0.2744,0.6129,0.7119
44,D2,hybrid_fixed,0.3561,0.3561,0.1938,0.2475,0.6348,0.6
44,D3,hybrid_xgb,0.807,0.8049,0.9133,0.9213,0.718,0.9365
44,D3,hybrid_lr,0.7932,0.7889,0.8909,0.9389,0.6867,0.9549
44,D3,hybrid_fixed,0.4813,0.4813,0.3547,0.3902,0.628,1.0
45,D1,hybrid_xgb,0.5944,0.591,0.6066,0.6018,0.5871,0.874
45,D1,hybrid_lr,0.4261,0.4252,0.2475,0.3142,0.6616,0.7149
45,D1,hybrid_fixed,0.3373,0.3372,0.1709,0.2235,0.6872,0.5753
45,D2,hybrid_xgb,0.5244,0.5223,0.4849,0.518,0.5309,0.858
45,D2,hybrid_lr,0.3751,0.3751,0.2473,0.2684,0.6226,0.6979
45,D2,hybrid_fixed,0.3611,0.3611,0.1955,0.2518,0.6376,0.6
45,D3,hybrid_xgb,0.7985,0.7943,0.9088,0.9089,0.712,0.9341
45,D3,hybrid_lr,0.7794,0.7681,0.8868,0.8421,0.7253,0.9446
45,D3,hybrid_fixed,0.4774,0.4776,0.3517,0.3868,0.6233,1.0
46,D1,hybrid_xgb,0.6049,0.5977,0.6073,0.6423,0.5715,0.8903
46,D1,hybrid_lr,0.4246,0.4209,0.2557,0.3159,0.6477,0.7385
46,D1,hybrid_fixed,0.3407,0.3406,0.1741,0.2256,0.6958,0.5797
46,D2,hybrid_xgb,0.5221,0.5205,0.4885,0.5249,0.5193,0.8654
46,D2,hybrid_lr,0.3797,0.3796,0.2282,0.2779,0.5993,0.7032
46,D2,hybrid_fixed,0.3619,0.362,0.1954,0.2529,0.6363,0.6
46,D3,hybrid_xgb,0.8094,0.8054,0.9124,0.9581,0.7007,0.9541
46,D3,hybrid_lr,0.7907,0.7832,0.892,0.8879,0.7127,0.9506
46,D3,hybrid_fixed,0.4792,0.4791,0.3535,0.3879,0.6267,1.0
47,D1,hybrid_xgb,0.6121,0.61,0.6164,0.6093,0.6149,0.8565
47,D1,hybrid_lr,0.4325,0.4307,0.2546,0.3314,0.6225,0.7627
47,D1,hybrid_fixed,0.3409,0.337,0.1719,0.2339,0.6285,0.6167
47,D2,hybrid_xgb,0.529,0.5285,0.4897,0.5346,0.5235,0.8616
47,D2,hybrid_lr,0.3738,0.3731,0.2581,0.2661,0.6284,0.6817
47,D2,hybrid_fixed,0.3583,0.3582,0.1951,0.2491,0.6381,0.6
47,D3,hybrid_xgb,0.8101,0.8012,0.9174,0.9088,0.7307,0.9377
47,D3,hybrid_lr,0.7869,0.7779,0.8906,0.9213,0.6867,0.9541
47,D3,hybrid_fixed,0.4817,0.4817,0.3539,0.3892,0.632,1.0
48,D1,hybrid_xgb,0.6033,0.6022,0.612,0.5992,0.6074,0.8849
48,D1,hybrid_lr,0.4465,0.4445,0.2604,0.3433,0.6382,0.7636
48,D1,hybrid_fixed,0.3439,0.3438,0.1748,0.2278,0.7015,0.5745
48,D2,hybrid_xgb,0.5262,0.5251,0.4909,0.5593,0.4969,0.8756
48,D2,hybrid_lr,0.3745,0.3739,0.2337,0.2684,0.6195,0.6835
48,D2,hybrid_fixed,0.3618,0.3618,0.1949,0.2523,0.6394,0.5999
48,D3,hybrid_xgb,0.8115,0.8113,0.9151,0.9042,0.736,0.9321
48,D3,hybrid_lr,0.7844,0.7804,0.8904,0.9595,0.6633,0.9641
48,D3,hybrid_fixed,0.4857,0.4858,0.3571,0.3929,0.636,1.0
49,D1,hybrid_xgb,0.626,0.623,0.6235,0.6252,0.6268,0.8544
49,D1,hybrid_lr,0.4501,0.4478,0.2605,0.3487,0.6344,0.7803
49,D1,hybrid_fixed,0.3438,0.3437,0.1742,0.2277,0.7016,0.5746
49,D2,hybrid_xgb,0.5215,0.5208,0.481,0.543,0.5016,0.8777
49,D2,hybrid_lr,0.3657,0.3653,0.2201,0.2591,0.6211,0.6659
49,D2,hybrid_fixed,0.3578,0.3578,0.1921,0.2498,0.6302,0.6
49,D3,hybrid_xgb,0.8319,0.829,0.924,0.9064,0.7687,0.9293
49,D3,hybrid_lr,0.7961,0.7936,0.8947,0.9227,0.7,0.9515
49,D3,hybrid_fixed,0.4848,0.4849,0.3563,0.3914,0.6367,1.0
50,D1,hybrid_xgb,0.6148,0.6119,0.6172,0.6142,0.6154,0.8712
