query_id,dataset,stratum,condition,rel_err,jaccard,exec_error
T01,D2,targeted,dirty_src,0.01561322,0.0,
T01,D2,targeted,clean_xgb_src,0.06085131,0.0,
T01,D2,targeted,repaired_xgb_src,0.01032476,0.0,
T02,D2,targeted,dirty_src,0.4254386,0.0,
T02,D2,targeted,clean_xgb_src,0.49561404,0.0,
T02,D2,targeted,repaired_xgb_src,0.01023392,0.0,
T03,D2,targeted,dirty_src,0.0762096,0.0,
T03,D2,targeted,clean_xgb_src,0.01300329,0.0,
T03,D2,targeted,repaired_xgb_src,0.01251324,0.0,
T04,D2,targeted,dirty_src,1.25547445,0.0,
T04,D2,targeted,clean_xgb_src,0.14494265,0.0,
T04,D2,targeted,repaired_xgb_src,0.28779979,0.0,
T05,D2,targeted,dirty_src,1.0,0.0,
T05,D2,targeted,clean_xgb_src,1.0,0.0,
T05,D2,targeted,repaired_xgb_src,1.0,0.0,
T06,D2,targeted,dirty_src,0.06596558,0.0,
T06,D2,targeted,clean_xgb_src,0.04015296,0.0,
T06,D2,targeted,repaired_xgb_src,0.0124283,0.0,
T07,D2,targeted,dirty_src,0.82352941,0.1765,
T07,D2,targeted,clean_xgb_src,0.66666667,0.3333,
T07,D2,targeted,repaired_xgb_src,0.57142857,0.4286,
T08,D2,targeted,dirty_src,0.00081103,0.0,
T08,D2,targeted,clean_xgb_src,0.0162206,0.0,
T08,D2,targeted,repaired_xgb_src,0.00081103,0.0,
T09,D2,targeted,dirty_src,0.00359637,0.0,
T09,D2,targeted,clean_xgb_src,0.0,1.0,
T09,D2,targeted,repaired_xgb_src,0.00253873,0.0,
T10,D2,targeted,dirty_src,1.0,0.0,
T10,D2,targeted,clean_xgb_src,1.0,0.0,
T10,D2,targeted,repaired_xgb_src,1.0,0.0,
T11,D3,targeted,dirty_src,0.92857143,0.0714,
T11,D3,targeted,clean_xgb_src,1.0,0.0,
T11,D3,targeted,repaired_xgb_src,0.0,1.0,
T12,D3,targeted,dirty_src,21.35714286,0.0,
T12,D3,targeted,clean_xgb_src,0.14285714,0.0,
T12,D3,targeted,repaired_xgb_src,0.0,1.0,
T13,D3,targeted,dirty_src,0.01047656,0.0,
T13,D3,targeted,clean_xgb_src,0.00821659,0.0,
T13,D3,targeted,repaired_xgb_src,0.0021574,0.0,
T14,D3,targeted,dirty_src,0.00970874,0.0,
T14,D3,targeted,clean_xgb_src,0.09708738,0.0,
T14,D3,targeted,repaired_xgb_src,0.0,1.0,
T15,D3,targeted,dirty_src,0.50847458,0.0,
T15,D3,targeted,clean_xgb_src,0.25254237,0.0,
T15,D3,targeted,repaired_xgb_src,0.13728814,0.0,
T16,D3,targeted,dirty_src,0.02418062,0.0,
T16,D3,targeted,clean_xgb_src,0.06143304,0.0,
T16,D3,targeted,repaired_xgb_src,0.00350216,0.0,
T17,D3,targeted,dirty_src,0.0,1.0,
T17,D3,targeted,clean_xgb_src,0.0,1.0,
T17,D3,targeted,repaired_xgb_src,0.0,1.0,
T18,D3,targeted,dirty_src,0.00817132,0.0,
T18,D3,targeted,clean_xgb_src,0.00056354,0.0,
T18,D3,targeted,repaired_xgb_src,0.0,1.0,
T19,D3,targeted,dirty_src,246999999999.99997,0.0,
T19,D3,targeted,clean_xgb_src,0.0,1.0,
T19,D3,targeted,repaired_xgb_src,0.0,1.0,
T20,D3,targeted,dirty_src,0.92857143,0.0714,
T20,D3,targeted,clean_xgb_src,1.0,0.0,
T20,D3,targeted,repaired_xgb_src,0.72727273,0.2727,
C01,D2,control,dirty_src,0.0,1.0,
C01,D2,control,clean_xgb_src,0.0,1.0,
C01,D2,control,repaired_xgb_src,0.0,1.0,
C02,D2,control,dirty_src,0.64,0.36,
C02,D2,control,clean_xgb_src,0.86666667,0.1333,
C02,D2,control,repaired_xgb_src,0.64,0.36,
C03,D2,control,dirty_src,1.0,0.0,
C03,D2,control,clean_xgb_src,1.0,0.0,
C03,D2,control,repaired_xgb_src,1.0,0.0,
C04,D2,control,dirty_src,0.00071643,0.0,
C04,D2,control,clean_xgb_src,0.01299732,0.0,
C04,D2,control,repaired_xgb_src,0.00083609,0.0,
C05,D2,control,dirty_src,0.01034195,0.0,
C05,D2,control,clean_xgb_src,0.04200679,0.0,
C05,D2,control,repaired_xgb_src,0.01025679,0.0,
C06,D2,control,dirty_src,0.00041268,0.0,
C06,D2,control,clean_xgb_src,0.00548092,0.0,
C06,D2,control,repaired_xgb_src,0.00046724,0.0,
C07,D2,control,dirty_src,0.01012459,0.0,
C07,D2,control,clean_xgb_src,0.02053354,0.0,
C07,D2,control,repaired_xgb_src,0.01011866,0.0,
C08,D2,control,dirty_src,0.88888889,0.1111,
C08,D2,control,clean_xgb_src,0.94736842,0.0526,
C08,D2,control,repaired_xgb_src,0.75,0.25,
C09,D3,control,dirty_src,0.0,1.0,
C09,D3,control,clean_xgb_src,1.0,0.0,
C09,D3,control,repaired_xgb_src,0.0,1.0,
C10,D3,control,dirty_src,0.0,1.0,
C10,D3,control,clean_xgb_src,1.0,0.0,
C10,D3,control,repaired_xgb_src,0.0,1.0,
C11,D3,control,dirty_src,0.0,1.0,
C11,D3,control,clean_xgb_src,0.01009677,0.0,
