detector,dataset,f1,auc_pr,precision,recall,elapsed_s,note,best_threshold,fpr_at_best_f1
DataFlow_hybrid_xgb,D1,0.6012,0.5402,0.6199,0.5837,,DataFlow (adopted stacker),,
DataFlow_hybrid_xgb,D2,0.5717,0.5228,0.6097,0.5381,,DataFlow (adopted stacker),,
DataFlow_hybrid_xgb,D3,0.7605,0.8736,0.6748,0.8713,,DataFlow (adopted stacker),,
ECOD,D1,0.4165,0.2789,0.3436,0.5288,1.16,ok,0.3539,0.0526
COPOD,D1,0.3718,0.2174,0.254,0.6934,0.06,ok,0.2498,0.106
HBOS,D1,0.4428,0.2779,0.4095,0.482,2.52,ok,0.3819,0.0362
LODA,D1,0.249,0.1448,0.2388,0.2602,0.16,ok,0.5732,0.0432
AutoEncoder,D1,,,,,2.18,ERROR: AutoEncoder.__init__() got an unexpected keyword argument 'epochs',,
DeepSVDD,D1,,,,,0.0,ERROR: DeepSVDD.__init__() missing 1 required positional argument: 'n_features',,
KNN,D1,0.5236,0.4144,0.5161,0.5312,6.15,ok,0.0001,0.0259
ECOD,D2,0.2432,0.1525,0.1563,0.5481,0.46,ok,0.2318,0.1541
COPOD,D2,0.2414,0.1564,0.1568,0.5242,0.43,ok,0.2617,0.1468
HBOS,D2,0.2937,0.1647,0.2238,0.4272,0.08,ok,0.3483,0.0772
LODA,D2,0.3805,0.2133,0.2843,0.5753,0.83,ok,0.1722,0.0754
AutoEncoder,D2,,,,,0.0,ERROR: AutoEncoder.__init__() got an unexpected keyword argument 'epochs',,
DeepSVDD,D2,,,,,0.0,ERROR: DeepSVDD.__init__() missing 1 required positional argument: 'n_features',,
KNN,D2,0.3333,0.2771,0.3988,0.2863,40.81,ok,0.0178,0.0225
ECOD,D3,0.5956,0.5601,0.4881,0.764,0.05,ok,0.3872,0.0422
COPOD,D3,0.4914,0.438,0.4646,0.5213,0.05,ok,0.3861,0.0316
HBOS,D3,0.4906,0.4793,0.4277,0.5753,1.49,ok,0.4501,0.0405
LODA,D3,0.394,0.3569,0.5323,0.3127,0.1,ok,0.4197,0.0145
AutoEncoder,D3,,,,,0.0,ERROR: AutoEncoder.__init__() got an unexpected keyword argument 'epochs',,
DeepSVDD,D3,,,,,0.0,ERROR: DeepSVDD.__init__() missing 1 required positional argument: 'n_features',,
KNN,D3,0.391,0.2972,0.2814,0.64,7.94,ok,0.0302,0.086
