query,src_folder,src_dialect,tgt_dialect,level,difficulty,committed_transpile_ok,committed_footprint_equiv,recomputed_footprint_equiv,relaxed_equiv,exec_equiv,note
simple_select,postgresql,postgres,postgres,basic,easy,True,True,True,True,True,
simple_select,postgresql,postgres,mysql,basic,easy,True,True,True,True,True,
simple_select,postgresql,postgres,tsql,basic,easy,True,True,True,True,True,
simple_select,postgresql,postgres,oracle,basic,easy,True,True,True,True,True,
simple_select,postgresql,postgres,snowflake,basic,easy,True,True,True,True,True,
basic_insert,postgresql,postgres,postgres,basic,easy,True,True,True,True,True,
basic_insert,postgresql,postgres,mysql,basic,easy,True,True,True,True,True,
basic_insert,postgresql,postgres,tsql,basic,easy,True,True,True,True,True,
basic_insert,postgresql,postgres,oracle,basic,easy,True,True,True,True,True,
basic_insert,postgresql,postgres,snowflake,basic,easy,True,True,True,True,True,
basic_update,postgresql,postgres,postgres,basic,easy,True,True,True,True,,
basic_update,postgresql,postgres,mysql,basic,easy,True,True,True,True,,
basic_update,postgresql,postgres,tsql,basic,easy,True,True,True,True,,
basic_update,postgresql,postgres,oracle,basic,easy,True,True,True,True,,
basic_update,postgresql,postgres,snowflake,basic,easy,True,True,True,True,,
simple_join,postgresql,postgres,postgres,basic,easy,True,True,True,True,,
simple_join,postgresql,postgres,mysql,basic,easy,True,True,True,True,,
simple_join,postgresql,postgres,tsql,basic,easy,True,True,True,True,,
simple_join,postgresql,postgres,oracle,basic,easy,True,True,True,True,,
simple_join,postgresql,postgres,snowflake,basic,easy,True,True,True,True,,
group_by_aggregation,postgresql,postgres,postgres,basic,easy,True,True,True,True,True,
group_by_aggregation,postgresql,postgres,mysql,basic,easy,True,True,True,True,True,
group_by_aggregation,postgresql,postgres,tsql,basic,easy,True,True,True,True,True,
group_by_aggregation,postgresql,postgres,oracle,basic,easy,True,True,True,True,True,
group_by_aggregation,postgresql,postgres,snowflake,basic,easy,True,True,True,True,True,
basic_where_and,postgresql,postgres,postgres,basic,easy,True,True,True,True,True,
basic_where_and,postgresql,postgres,mysql,basic,easy,True,True,True,True,True,
basic_where_and,postgresql,postgres,tsql,basic,easy,True,True,True,True,True,
basic_where_and,postgresql,postgres,oracle,basic,easy,True,True,True,True,True,
basic_where_and,postgresql,postgres,snowflake,basic,easy,True,True,True,True,True,
order_by_limit,postgresql,postgres,postgres,basic,easy,True,True,True,True,True,
order_by_limit,postgresql,postgres,mysql,basic,easy,True,False,False,False,True,
order_by_limit,postgresql,postgres,tsql,basic,easy,True,False,False,False,True,
order_by_limit,postgresql,postgres,oracle,basic,easy,True,False,False,False,True,
order_by_limit,postgresql,postgres,snowflake,basic,easy,True,True,True,True,True,
count_aggregate,postgresql,postgres,postgres,basic,easy,True,True,True,True,True,
count_aggregate,postgresql,postgres,mysql,basic,easy,True,True,True,True,True,
count_aggregate,postgresql,postgres,tsql,basic,easy,True,True,True,True,True,
count_aggregate,postgresql,postgres,oracle,basic,easy,True,True,True,True,True,
count_aggregate,postgresql,postgres,snowflake,basic,easy,True,True,True,True,True,
sum_aggregate,postgresql,postgres,postgres,basic,easy,True,True,True,True,True,
sum_aggregate,postgresql,postgres,mysql,basic,easy,True,True,True,True,True,
sum_aggregate,postgresql,postgres,tsql,basic,easy,True,True,True,True,True,
sum_aggregate,postgresql,postgres,oracle,basic,easy,True,True,True,True,True,
sum_aggregate,postgresql,postgres,snowflake,basic,easy,True,True,True,True,True,
