dataset,family,n_injected,recovered,recall
D1,A1_sign_flip,500,500,1.0
D1,A2_magnitude_outlier,500,78,0.156
D1,A3_tag_mismatch,499,11,0.022044088176352707
D1,A4_period_violation,500,498,0.996
D1,A5_duplicate_posting,500,500,1.0
D2,B1_ot_regular_inconsistency,2000,1803,0.9015
D2,B2_salary_basis_mismatch,2000,1966,0.983
D2,B3_near_duplicate_name,2000,184,0.092
D2,B4_agency_title_violation,2000,1017,0.5085
D2,B5_magnitude_outlier,2000,1186,0.593
D3,C1_education_out_of_domain,300,300,1.0
D3,C2_limitbal_inconsistency,300,300,1.0
D3,C3_bill_sign_violation,300,74,0.24666666666666667
D3,C4_pay_temporal_violation,300,29,0.09666666666666666
D3,C5_age_range_violation,300,300,1.0
