entity_id,entity_name,country,currency,fiscal_year_end,consolidation_level,parent_entity,is_active
ENT0001,Entity_1,US,JPY,Sep,4,ENT0036,True
ENT0002,Entity_2,FR,EUR,Dec,3,ENT0447,True
ENT0003,Entity_3,FR,EUR,Mar,4,ENT0190,True
ENT0004,Entity_4,DE,JPY,Mar,4,ENT0116,True
ENT0005,Entity_5,DE,USD,Sep,3,ENT0283,True
ENT0006,Entity_6,JP,JPY,Dec,2,,True
ENT0007,Entity_7,US,JPY,Mar,3,ENT0142,True
ENT0008,Entity_8,FR,EUR,Dec,2,,True
ENT0009,Entity_9,GB,EUR,Sep,3,,True
ENT0010,Entity_10,US,EUR,Jun,4,,True
ENT0011,Entity_11,DE,GBP,Mar,2,ENT0691,True
ENT0012,Entity_12,JP,EUR,Mar,3,ENT0415,True
ENT0013,Entity_13,FR,GBP,Dec,1,,True
ENT0014,Entity_14,FR,GBP,Sep,3,,True
ENT0015,Entity_15,FR,EUR,Jun,2,ENT0307,True
ENT0016,Entity_16,FR,GBP,Mar,2,ENT0374,True
ENT0017,Entity_17,DE,GBP,Mar,3,,True
ENT0018,Entity_18,US,EUR,Jun,1,,True
ENT0019,Entity_19,JP,USD,Jun,3,ENT0019,True
ENT0020,Entity_20,DE,USD,Mar,3,ENT0324,True
ENT0021,Entity_21,DE,USD,Mar,2,ENT0395,True
ENT0022,Entity_22,GB,USD,Jun,1,ENT0847,True
ENT0023,Entity_23,US,JPY,Jun,2,ENT0531,True
ENT0024,Entity_24,JP,JPY,Jun,1,,True
ENT0025,Entity_25,FR,JPY,Dec,2,ENT0757,True
ENT0026,Entity_26,FR,GBP,Mar,3,ENT0345,True
ENT0027,Entity_27,DE,USD,Jun,1,,True
ENT0028,Entity_28,JP,GBP,Sep,3,ENT0834,True
ENT0029,Entity_29,DE,EUR,Jun,1,,True
ENT0030,Entity_30,DE,GBP,Mar,4,ENT0943,True
ENT0031,Entity_31,DE,EUR,Jun,3,ENT0904,True
ENT0032,Entity_32,GB,USD,Dec,2,ENT0285,True
ENT0033,Entity_33,US,EUR,Dec,3,ENT0270,True
ENT0034,Entity_34,DE,GBP,Jun,1,ENT0930,True
ENT0035,Entity_35,JP,USD,Sep,1,,True
ENT0036,Entity_36,US,EUR,Sep,4,ENT0960,True
ENT0037,Entity_37,JP,JPY,Jun,4,,True
ENT0038,Entity_38,JP,USD,Dec,1,ENT0547,True
ENT0039,Entity_39,GB,EUR,Sep,2,ENT0191,True
ENT0040,Entity_40,FR,JPY,Mar,1,ENT0040,True
ENT0041,Entity_41,US,EUR,Mar,2,ENT0513,False
ENT0042,Entity_42,FR,JPY,Sep,2,ENT0324,True
ENT0043,Entity_43,FR,EUR,Jun,2,ENT0043,True
ENT0044,Entity_44,GB,GBP,Jun,3,,False
ENT0045,Entity_45,US,EUR,Mar,1,,True
ENT0046,Entity_46,JP,USD,Sep,4,ENT0475,True
ENT0047,Entity_47,DE,GBP,Mar,3,,True
ENT0048,Entity_48,JP,USD,Jun,4,ENT0046,True
ENT0049,Entity_49,FR,GBP,Sep,1,ENT0091,False
ENT0050,Entity_50,FR,USD,Jun,3,ENT0731,True
ENT0051,Entity_51,FR,EUR,Dec,4,ENT0503,True
ENT0052,Entity_52,US,GBP,Mar,1,,True
ENT0053,Entity_53,GB,EUR,Mar,4,ENT0727,True
ENT0054,Entity_54,DE,JPY,Sep,2,ENT0860,False
ENT0055,Entity_55,DE,USD,Jun,4,,True
ENT0056,Entity_56,US,JPY,Mar,2,ENT0863,True
ENT0057,Entity_57,DE,EUR,Jun,4,ENT0390,False
ENT0058,Entity_58,US,EUR,Jun,1,ENT0227,True
ENT0059,Entity_59,FR,EUR,Mar,2,ENT0187,True
ENT0060,Entity_60,FR,GBP,Mar,2,,True
ENT0061,Entity_61,JP,EUR,Sep,1,ENT0564,True
ENT0062,Entity_62,FR,GBP,Jun,2,ENT0201,True
ENT0063,Entity_63,GB,USD,Dec,2,,True
ENT0064,Entity_64,JP,EUR,Jun,1,ENT0373,True
ENT0065,Entity_65,DE,EUR,Jun,3,ENT0264,True
ENT0066,Entity_66,GB,GBP,Jun,3,ENT0304,True
ENT0067,Entity_67,JP,JPY,Jun,4,ENT0717,True
ENT0068,Entity_68,GB,EUR,Sep,3,ENT0102,True
ENT0069,Entity_69,US,GBP,Mar,1,ENT0853,True
ENT0070,Entity_70,DE,USD,Mar,1,,True
ENT0071,Entity_71,FR,EUR,Dec,2,ENT0430,True
ENT0072,Entity_72,US,GBP,Jun,2,,True
ENT0073,Entity_73,DE,EUR,Mar,1,ENT0343,True
ENT0074,Entity_74,US,EUR,Mar,4,,True
ENT0075,Entity_75,FR,GBP,Jun,3,ENT0075,True
ENT0076,Entity_76,DE,USD,Mar,3,ENT0344,True
ENT0077,Entity_77,GB,EUR,Mar,1,ENT0131,True
ENT0078,Entity_78,GB,USD,Mar,4,ENT0227,True
ENT0079,Entity_79,DE,EUR,Mar,1,ENT0607,True
ENT0080,Entity_80,FR,GBP,Dec,2,ENT0686,True
ENT0081,Entity_81,JP,JPY,Sep,2,ENT0993,True
ENT0082,Entity_82,DE,JPY,Dec,4,,True
ENT0083,Entity_83,US,JPY,Mar,2,ENT0826,True
ENT0084,Entity_84,JP,EUR,Jun,1,,True
ENT0085,Entity_85,FR,GBP,Dec,2,ENT0534,True
ENT0086,Entity_86,FR,JPY,Jun,2,,True
ENT0087,Entity_87,US,JPY,Jun,1,ENT0606,True
