account_id,account_name,account_type,balance,currency,cost_center,entity,is_active,last_updated
ACC000001,Account_1,Asset,12318571.828052938,XXX,CC919,EntityA,True,2023-01-01 00:00:00
ACC000002,Account_2,Revenue,341824.46,,CC761,EntityB,False,2023-01-01 01:00:00
ACC000003,Account_3,Revenue,475297.64,USD,CC472,EntityC,True,2023-01-01 02:00:00
ACC000004,Account_4,Equity,414746.09,USD,CC172,EntityA,True,2023-01-01 03:00:00
ACC000005,Account_5,Equity,139321.87,USD,CC237,EntityA,True,2023-01-01 04:00:00
ACC000006,Account_6,Expense,27609.22,EUR,CC318,EntityA,True,2023-01-01 05:00:00
ACC000007,Account_7,Asset,470235.35,GBP,CC465,EntityB,True,2023-01-01 06:00:00
ACC000008,Account_8,Revenue,468594.3,EUR,CC896,EntityC,True,2023-01-01 07:00:00
ACC000009,Account_9,Liability,266675.24,USD,CC207,EntityB,True,2023-01-01 08:00:00
ACC000010,Account_10,Asset,321516.39,USD,CC618,EntityB,True,2023-01-01 09:00:00
ACC000011,Account_11,Equity,231837.43,USD,CC412,EntityC,True,2023-01-01 10:00:00
ACC000012,Account_12,Expense,,USD,CC141,EntityA,True,2023-01-01 11:00:00
ACC000013,Account_13,Revenue,60604.77,USD,CC656,EntityC,True,2023-01-01 12:00:00
ACC000014,Account_14,Revenue,49279.7,USD,CC733,EntityA,True,2023-01-01 13:00:00
ACC000015,Account_15,Revenue,117133.34,EUR,CC962,EntityA,True,2023-01-01 14:00:00
ACC000016,Account_16,Revenue,418483.73,USD,CC555,EntityC,True,2023-01-01 15:00:00
ACC000017,Account_17,Equity,73770.32,EUR,CC392,EntityB,True,2023-01-01 16:00:00
ACC000018,Account_18,Asset,114122.63,USD,CC868,EntityB,True,2023-01-01 17:00:00
ACC000019,Account_19,Expense,274758.42,USD,CC322,EntityA,True,2023-01-01 18:00:00
ACC000020,Account_20,Equity,108350.48,USD,CC713,EntityB,True,2023-01-01 19:00:00
ACC000021,Account_21,Equity,,USD,CC948,EntityC,True,2023-01-01 20:00:00
ACC000022,Account_22,Liability,282094.8,USD,CC103,EntityA,True,2023-01-01 21:00:00
ACC000023,Account_23,Asset,184678.54,USD,CC931,EntityA,True,2023-01-01 22:00:00
ACC000024,Account_24,Expense,313453.48,USD,CC284,EntityA,True,2023-01-01 23:00:00
ACC000025,Account_25,Revenue,456190.46,USD,CC532,EntityB,True,2023-01-02 00:00:00
ACC000026,Account_26,Revenue,76345.57,USD,CC331,EntityC,True,2023-01-02 01:00:00
ACC000027,Account_27,Equity,,EUR,CC229,EntityA,True,2023-01-02 02:00:00
ACC000028,Account_28,Expense,451342.49,EUR,CC731,EntityC,True,2023-01-02 03:00:00
ACC000029,Account_29,Equity,414714.7,USD,CC533,EntityC,True,2023-01-02 04:00:00
ACC000030,Account_30,Equity,316011.67,INVALID,CC557,EntityB,True,2023-01-02 05:00:00
ACC000031,Account_31,Equity,12318571.828052938,USD,CC534,EntityC,True,2023-01-02 06:00:00
ACC000032,Account_32,Liability,319967.12,,CC771,EntityC,True,2023-01-02 07:00:00
ACC000033,Account_33,Asset,345557.28,USD,CC968,EntityC,True,2023-01-02 08:00:00
