je_id,posting_date,value_date,amount,currency,dr_account,cr_account,description,status,approver
JE00000001,2022-01-01 00:00:00,2022-01-01 00:00:00,38720.41,USD,ACC003492,ACC004501,Journal entry 1,posted,User25
JE00000002,2022-01-01 01:00:00,2022-01-01 01:00:00,22000.03,EUR,ACC003304,ACC003704,Journal entry 2,posted,User8
JE00000003,2022-01-01 02:00:00,2022-01-01 02:00:00,42944.04,USD,ACC004569,ACC001035,Journal entry 3,posted,User16
JE00000004,2022-01-01 03:00:00,2022-01-01 03:00:00,34898.66,USD,ACC001829,ACC004980,Journal entry 4,posted,User23
JE00000005,2022-01-01 04:00:00,2022-01-01 04:00:00,4799.45,EUR,ACC003771,ACC004964,Journal entry 5,posted,User26
JE00000006,2022-01-01 05:00:00,2022-01-01 05:00:00,48783.56,EUR,ACC001136,ACC000205,Journal entry 6,posted,User16
JE00000007,2022-01-01 06:00:00,2022-01-01 06:00:00,38080.87,USD,ACC004686,ACC000129,Journal entry 7,posted,User36
JE00000008,2022-01-01 07:00:00,2022-01-01 07:00:00,39324.61,EUR,ACC000419,ACC001225,Journal entry 8,posted,User46
JE00000009,2022-01-01 08:00:00,2022-01-01 08:00:00,6492.87,EUR,ACC003752,ACC003970,Journal entry 9,posted,User23
JE00000010,2022-01-01 09:00:00,2022-01-01 09:00:00,22574.26,USD,ACC000509,ACC002989,Journal entry 10,posted,User32
JE00000011,2022-01-01 10:00:00,2022-01-01 10:00:00,18602.82,GBP,ACC004401,ACC002564,Journal entry 11,reversed,User10
JE00000012,2022-01-01 11:00:00,2022-01-01 11:00:00,46345.57,EUR,ACC004798,ACC002076,Journal entry 12,posted,User10
JE00000013,2022-01-01 12:00:00,2022-01-01 12:00:00,32228.87,USD,ACC004090,ACC002399,Journal entry 13,reversed,User4
JE00000014,2022-01-01 13:00:00,2022-01-01 13:00:00,41155.8,USD,ACC003943,ACC003188,Journal entry 14,posted,User49
JE00000015,2022-01-01 14:00:00,2022-01-01 14:00:00,22226.37,USD,ACC002391,ACC000319,Journal entry 15,posted,User15
JE00000016,2022-01-01 15:00:00,2022-01-01 15:00:00,11439.21,USD,ACC001225,ACC002933,Journal entry 16,reversed,User35
JE00000017,2022-01-01 16:00:00,2022-01-01 16:00:00,27773.78,EUR,ACC004929,ACC001105,Journal entry 17,posted,User31
JE00000018,2022-01-01 17:00:00,2022-01-01 17:00:00,4968313.221500001,EUR,ACC002646,ACC003940,Journal entry 18,posted,User7
JE00000019,2022-01-01 18:00:00,2022-01-01 18:00:00,41398.8,USD,ACC004083,ACC000978,Journal entry 19,posted,User9
JE00000020,2022-01-01 19:00:00,2022-01-01 19:00:00,31620.05,USD,ACC003572,ACC000355,Journal entry 20,posted,User40
JE00000021,2022-01-01 20:00:00,2022-01-01 20:00:00,37928.58,USD,ACC003506,ACC002174,Journal entry 21,pending,
JE00000022,2022-01-01 21:00:00,2022-01-01 21:00:00,17790.85,USD,ACC001763,ACC002204,Journal entry 22,posted,User28
JE00000023,2022-01-01 22:00:00,2022-01-01 22:00:00,48537.83,GBP,ACC002135,ACC002593,Journal entry 23,posted,User17
JE00000024,2022-01-01 23:00:00,2022-01-01 23:00:00,44666.74,USD,ACC002200,ACC004301,Journal entry 24,posted,User20
