mapping_id,source_account,target_account,source_type,target_type,confidence,mapping_method,is_validated
1,SRC_Account_1,TGT_Account_1,Asset,Expense,0.937,rule_based,True
2,SRC_Account_2,TGT_Account_2,Revenue,Equity,0.779,exact,True
3,SRC_Account_3,TGT_Account_3,Revenue,Liability,0.981,rule_based,True
4,SRC_Account_4,TGT_Account_4,Equity,Asset,0.86,exact,True
5,SRC_Account_5,TGT_Account_5,Equity,Revenue,0.646,semantic,True
6,SRC_Account_6,TGT_Account_6,Expense,Asset,0.954,exact,True
7,SRC_Account_7,TGT_Account_7,Asset,Equity,0.796,semantic,True
8,SRC_Account_8,TGT_Account_8,Revenue,Asset,,exact,False
9,SRC_Account_9,TGT_Account_9,Liability,Revenue,0.661,exact,False
10,SRC_Account_10,TGT_Account_10,Asset,Revenue,0.875,semantic,False
11,SRC_Account_11,TGT_Account_11,Equity,Equity,0.619,exact,False
12,SRC_Account_12,TGT_Account_12,Expense,Liability,0.715,exact,False
13,SRC_Account_13,TGT_Account_13,Revenue,Asset,0.656,manual,True
14,SRC_Account_14,TGT_Account_14,Revenue,Expense,0.776,exact,True
15,SRC_Account_15,TGT_Account_15,Revenue,Revenue,0.766,semantic,True
16,SRC_Account_16,TGT_Account_16,Revenue,Liability,0.809,semantic,True
17,SRC_Account_17,TGT_Account_17,Equity,Asset,0.712,exact,True
18,SRC_Account_18,TGT_Account_18,Asset,Revenue,0.613,semantic,False
19,SRC_Account_19,TGT_Account_19,Expense,Revenue,0.846,exact,False
20,SRC_Account_20,TGT_Account_20,Equity,Expense,0.749,rule_based,False
21,SRC_Account_21,TGT_Account_21,Equity,Liability,0.861,exact,False
22,SRC_Account_22,TGT_Account_22,Liability,Revenue,0.643,exact,False
23,SRC_Account_23,TGT_Account_23,Asset,Liability,0.606,exact,True
24,SRC_Account_24,TGT_Account_24,Expense,Equity,0.699,manual,False
25,SRC_Account_25,TGT_Account_25,Revenue,Asset,,rule_based,False
26,SRC_Account_26,TGT_Account_26,Revenue,Equity,0.758,manual,False
27,SRC_Account_27,TGT_Account_27,Equity,Revenue,0.924,semantic,True
28,SRC_Account_28,TGT_Account_28,Expense,Expense,0.751,semantic,True
29,SRC_Account_29,TGT_Account_29,Equity,Expense,0.812,semantic,False
30,SRC_Account_30,TGT_Account_30,Equity,Liability,0.837,manual,True
31,SRC_Account_31,TGT_Account_31,Equity,Equity,0.609,semantic,True
32,SRC_Account_32,TGT_Account_32,Liability,Asset,0.806,exact,True
33,SRC_Account_33,TGT_Account_33,Asset,Revenue,0.738,semantic,True
34,SRC_Account_34,TGT_Account_34,Equity,Revenue,0.769,semantic,True
35,SRC_Account_35,TGT_Account_35,Expense,Expense,0.64,exact,False
36,SRC_Account_36,TGT_Account_36,Asset,Equity,0.913,exact,False
37,SRC_Account_37,TGT_Account_37,Expense,Equity,0.977,exact,False
38,SRC_Account_38,TGT_Account_38,Expense,Asset,,rule_based,True
39,SRC_Account_39,TGT_Account_39,Liability,Expense,0.841,exact,True
40,SRC_Account_40,TGT_Account_40,Revenue,Equity,0.906,rule_based,True
41,SRC_Account_41,TGT_Account_41,Asset,Liability,0.714,semantic,True
42,SRC_Account_42,TGT_Account_42,Revenue,Expense,0.915,rule_based,True
43,SRC_Account_43,TGT_Account_43,Revenue,Revenue,,exact,False
44,SRC_Account_44,TGT_Account_44,Liability,Asset,0.972,manual,False
45,SRC_Account_45,TGT_Account_45,Asset,Expense,0.992,semantic,True
46,SRC_Account_46,TGT_Account_46,Expense,Expense,0.617,exact,True
47,SRC_Account_47,TGT_Account_47,Equity,Equity,0.778,exact,True
48,SRC_Account_48,TGT_Account_48,Expense,Equity,0.819,exact,True
49,SRC_Account_49,TGT_Account_49,Revenue,Revenue,0.659,exact,True
50,SRC_Account_50,TGT_Account_50,Revenue,Liability,,rule_based,True
51,SRC_Account_51,TGT_Account_51,Revenue,Asset,0.995,manual,True
52,SRC_Account_52,TGT_Account_52,Asset,Liability,0.606,semantic,True
53,SRC_Account_53,TGT_Account_53,Liability,Expense,0.781,semantic,False
54,SRC_Account_54,TGT_Account_54,Equity,Expense,0.937,semantic,True
55,SRC_Account_55,TGT_Account_55,Equity,Revenue,0.73,rule_based,True
56,SRC_Account_56,TGT_Account_56,Asset,Liability,0.792,rule_based,True
57,SRC_Account_57,TGT_Account_57,Equity,Revenue,0.991,exact,True
58,SRC_Account_58,TGT_Account_58,Asset,Revenue,0.79,manual,True
59,SRC_Account_59,TGT_Account_59,Revenue,Liability,0.652,exact,False
60,SRC_Account_60,TGT_Account_60,Revenue,Equity,0.621,rule_based,False
61,SRC_Account_61,TGT_Account_61,Expense,Expense,0.978,manual,True
62,SRC_Account_62,TGT_Account_62,Revenue,Asset,0.706,rule_based,True
63,SRC_Account_63,TGT_Account_63,Liability,Asset,0.802,exact,True
64,SRC_Account_64,TGT_Account_64,Expense,Revenue,0.636,semantic,True
65,SRC_Account_65,TGT_Account_65,Equity,Equity,0.769,exact,True
66,SRC_Account_66,TGT_Account_66,Liability,Revenue,,rule_based,False
67,SRC_Account_67,TGT_Account_67,Expense,Liability,0.801,exact,True
68,SRC_Account_68,TGT_Account_68,Liability,Expense,0.988,semantic,True
69,SRC_Account_69,TGT_Account_69,Asset,Liability,0.704,manual,True
70,SRC_Account_70,TGT_Account_70,Equity,Liability,0.802,exact,True
71,SRC_Account_71,TGT_Account_71,Revenue,Asset,0.944,exact,False
72,SRC_Account_72,TGT_Account_72,Asset,Revenue,0.779,semantic,True
73,SRC_Account_73,TGT_Account_73,Equity,Equity,0.712,semantic,True
74,SRC_Account_74,TGT_Account_74,Asset,Liability,0.942,exact,True
75,SRC_Account_75,TGT_Account_75,Revenue,Revenue,0.756,exact,False
76,SRC_Account_76,TGT_Account_76,Equity,Equity,0.812,semantic,True
77,SRC_Account_77,TGT_Account_77,Liability,Equity,0.991,semantic,True
78,SRC_Account_78,TGT_Account_78,Liability,Equity,0.675,semantic,True
79,SRC_Account_79,TGT_Account_79,Equity,Liability,0.721,exact,True
80,SRC_Account_80,TGT_Account_80,Revenue,Liability,0.612,semantic,False
81,SRC_Account_81,TGT_Account_81,Expense,Liability,0.757,exact,True
82,SRC_Account_82,TGT_Account_82,Equity,Asset,0.68,exact,True
83,SRC_Account_83,TGT_Account_83,Asset,Liability,0.872,rule_based,True
84,SRC_Account_84,TGT_Account_84,Expense,Revenue,0.673,exact,True
85,SRC_Account_85,TGT_Account_85,Revenue,Liability,0.87,semantic,True
