account_id,account_name,account_type,balance,currency,cost_center,entity,is_active,last_updated
ACC000001,Account_1,Asset,31969.49,,CC404,EntityB,True,2023-01-01 00:00:00
ACC000002,Account_2,,12552979.751870908,USD,CC296,EntityB,True,2023-01-01 01:00:00
ACC000003,Account_3,Revenue,197198223.1397841,USD,CC567,EntityA,True,2023-01-01 02:00:00
ACC000004,Account_4,Equity,77011.03,,CC695,EntityA,True,2023-01-01 03:00:00
ACC000005,CORRUPT_483549,Equity,197198223.1397841,USD,CC335,EntityB,True,2023-01-01 04:00:00
ACC000006,Account_6,Expense,197198223.1397841,EUR,CC789,EntityB,True,2023-01-01 05:00:00
ACC000007,Account_7,Asset,461004.37,USD,CC674,EntityB,True,2023-01-01 06:00:00
ACC000008,Account_8,Revenue,197198223.1397841,USD,CC249,EntityA,True,2023-01-01 07:00:00
ACC000009,Account_9,Liability,,,CC943,EntityB,True,2023-01-01 08:00:00
ACC000010,Account_10,Asset,231088.62,EUR,CC139,EntityA,True,2023-01-01 09:00:00
ACC000011,CORRUPT_96913,,330315.7,,CC687,EntityA,True,2023-01-01 10:00:00
ACC000012,Account_12,Expense,194964.79,,CC495,EntityB,False,2023-01-01 11:00:00
ACC000013,Account_13,,236919.2,EUR,CC687,EntityB,True,2023-01-01 12:00:00
ACC000014,Account_14,Revenue,475080.49,USD,CC795,EntityB,True,2023-01-01 13:00:00
ACC000015,Account_15,Revenue,197198223.1397841,USD,CC717,EntityC,True,2023-01-01 14:00:00
ACC000016,Account_16,,197198223.1397841,EUR,CC685,EntityC,False,2023-01-01 15:00:00
ACC000017,Account_17,Equity,,INVALID,CC855,EntityB,True,2023-01-01 16:00:00
ACC000018,CORRUPT_511573,Asset,423157.77,USD,CC730,EntityC,True,2023-01-01 17:00:00
ACC000019,CORRUPT_167386,Expense,197198223.1397841,USD,CC831,EntityA,True,2023-01-01 18:00:00
ACC000020,Account_20,Equity,225366.71,USD,CC462,EntityC,True,2023-01-01 19:00:00
ACC000021,Account_21,Equity,197198223.1397841,USD,CC282,EntityB,False,2023-01-01 20:00:00
ACC000022,Account_22,Liability,197198223.1397841,EUR,CC311,EntityC,False,2023-01-01 21:00:00
ACC000023,Account_23,Asset,495912.05,USD,CC650,EntityC,True,2023-01-01 22:00:00
ACC000024,Account_24,,197198223.1397841,,CC578,EntityC,True,2023-01-01 23:00:00
ACC000025,Account_25,,197198223.1397841,USD,CC169,EntityC,True,2023-01-02 00:00:00
ACC000026,Account_26,Revenue,197198223.1397841,,CC283,EntityA,True,2023-01-02 01:00:00
ACC000027,CORRUPT_166808,Equity,197198223.1397841,USD,CC969,EntityA,True,2023-01-02 02:00:00
ACC000028,Account_28,Expense,,EUR,CC752,EntityB,True,2023-01-02 03:00:00
ACC000029,Account_29,Equity,369516.85,USD,CC778,EntityB,True,2023-01-02 04:00:00
ACC000030,Account_30,Equity,202166.96,USD,CC277,EntityA,True,2023-01-02 05:00:00
ACC000031,CORRUPT_789052,Equity,,EUR,CC157,EntityC,True,2023-01-02 06:00:00
ACC000032,CORRUPT_459546,Liability,360171.48,USD,CC361,EntityA,True,2023-01-02 07:00:00
ACC000033,Account_33,,254958.14,,CC870,EntityC,True,2023-01-02 08:00:00
ACC000034,CORRUPT_639182,Equity,453636.08,,CC555,EntityA,True,2023-01-02 09:00:00
ACC000035,Account_35,Expense,210231.19,GBP,CC805,EntityB,True,2023-01-02 10:00:00
ACC000036,Account_36,Asset,323888.83,EUR,CC537,EntityC,True,2023-01-02 11:00:00
ACC000037,Account_37,Expense,,USD,CC540,EntityB,True,2023-01-02 12:00:00
ACC000038,Account_38,Expense,204670.18,USD,CC640,EntityC,True,2023-01-02 13:00:00
ACC000039,Account_39,Liability,12552979.751870908,USD,CC962,EntityC,True,2023-01-02 14:00:00
ACC000040,Account_40,,63777.7,XXX,CC493,EntityC,True,2023-01-02 15:00:00
ACC000041,CORRUPT_764812,Asset,12552979.751870908,USD,CC635,EntityB,True,2023-01-02 16:00:00
ACC000042,Account_42,Revenue,,,CC926,EntityC,True,2023-01-02 17:00:00
ACC000043,Account_43,Revenue,328103.35,EUR,CC434,EntityB,True,2023-01-02 18:00:00
ACC000044,CORRUPT_770809,,331791.95,INVALID,CC855,EntityC,True,2023-01-02 19:00:00
ACC000045,Account_45,Asset,197198223.1397841,INVALID,CC581,EntityC,False,2023-01-02 20:00:00
ACC000046,Account_46,Expense,197198223.1397841,GBP,CC890,EntityA,False,2023-01-02 21:00:00
ACC000047,CORRUPT_798211,Equity,12552979.751870908,USD,CC520,EntityB,True,2023-01-02 22:00:00
ACC000048,Account_48,,197198223.1397841,USD,CC665,EntityC,True,2023-01-02 23:00:00
ACC000049,Account_49,Revenue,430454.57,GBP,CC390,EntityA,True,2023-01-03 00:00:00
ACC000050,Account_50,Revenue,197198223.1397841,USD,CC670,EntityC,True,2023-01-03 01:00:00
ACC000051,Account_51,Revenue,197198223.1397841,EUR,CC393,EntityA,False,2023-01-03 02:00:00
ACC000052,Account_52,Asset,12552979.751870908,,CC647,EntityC,True,2023-01-03 03:00:00
ACC000053,Account_53,Liability,138301.11,USD,CC809,EntityC,True,2023-01-03 04:00:00
ACC000054,Account_54,Equity,70188.59,EUR,CC490,EntityA,True,2023-01-03 05:00:00
ACC000055,Account_55,Equity,142476.86,,CC485,EntityC,True,2023-01-03 06:00:00
ACC000056,Account_56,Asset,197198223.1397841,USD,CC389,EntityA,True,2023-01-03 07:00:00
ACC000057,Account_57,Equity,,USD,CC756,EntityB,True,2023-01-03 08:00:00
ACC000058,Account_58,Asset,197198223.1397841,USD,CC632,EntityC,True,2023-01-03 09:00:00
ACC000059,Account_59,Revenue,,USD,CC564,EntityA,True,2023-01-03 10:00:00
ACC000060,Account_60,Revenue,12552979.751870908,INVALID,CC122,EntityA,True,2023-01-03 11:00:00
ACC000061,CORRUPT_923222,Expense,476508.31,USD,CC198,EntityB,True,2023-01-03 12:00:00
ACC000062,Account_62,Revenue,197198223.1397841,USD,CC106,EntityB,True,2023-01-03 13:00:00
ACC000063,Account_63,Liability,197198223.1397841,USD,CC864,EntityA,True,2023-01-03 14:00:00
ACC000064,Account_64,Expense,,,CC865,EntityB,True,2023-01-03 15:00:00
ACC000065,CORRUPT_343838,Equity,197198223.1397841,USD,CC161,EntityA,True,2023-01-03 16:00:00
ACC000066,Account_66,Liability,197198223.1397841,,CC141,EntityA,True,2023-01-03 17:00:00
ACC000067,Account_67,Expense,197198223.1397841,USD,CC802,EntityA,True,2023-01-03 18:00:00
ACC000068,CORRUPT_626815,Liability,12552979.751870908,,CC571,EntityA,True,2023-01-03 19:00:00
ACC000069,Account_69,Asset,,EUR,CC377,EntityC,True,2023-01-03 20:00:00
ACC000070,Account_70,,197198223.1397841,USD,CC652,EntityC,True,2023-01-03 21:00:00
ACC000071,Account_71,Revenue,437678.7,,CC312,EntityB,True,2023-01-03 22:00:00
ACC000072,Account_72,Asset,,GBP,CC278,EntityC,True,2023-01-03 23:00:00
ACC000073,Account_73,Equity,197198223.1397841,EUR,CC430,EntityB,True,2023-01-04 00:00:00
ACC000074,Account_74,Asset,,EUR,CC905,EntityC,True,2023-01-04 01:00:00
ACC000075,Account_75,Revenue,12552979.751870908,EUR,CC789,EntityA,True,2023-01-04 02:00:00
ACC000076,Account_76,Equity,197198223.1397841,GBP,CC270,EntityA,True,2023-01-04 03:00:00
