account_id,account_name,account_type,balance,currency,cost_center,entity,is_active,last_updated
ACC000001,Account_1,Asset,31969.49,EUR,CC404,EntityB,True,2023-01-01 00:00:00
ACC000002,Account_2,Revenue,12552979.751870908,,CC296,EntityB,True,2023-01-01 01:00:00
ACC000003,Account_3,Revenue,65386.0,,CC567,EntityA,True,2023-01-01 02:00:00
ACC000004,Account_4,Equity,77011.03,,CC695,EntityA,True,2023-01-01 03:00:00
ACC000005,Account_5,Equity,316509.12,USD,CC335,EntityB,True,2023-01-01 04:00:00
ACC000006,Account_6,Expense,197070.77,EUR,CC789,EntityB,True,2023-01-01 05:00:00
ACC000007,Account_7,Asset,194992902.45901763,USD,CC674,EntityB,True,2023-01-01 06:00:00
ACC000008,Account_8,Revenue,160259.09,USD,CC249,EntityA,True,2023-01-01 07:00:00
ACC000009,Account_9,Liability,,USD,CC943,EntityB,True,2023-01-01 08:00:00
ACC000010,Account_10,,194992902.45901763,EUR,CC139,EntityA,True,2023-01-01 09:00:00
ACC000011,Account_11,Equity,330315.7,,CC687,EntityA,True,2023-01-01 10:00:00
ACC000012,Account_12,,194992902.45901763,EUR,CC495,EntityB,False,2023-01-01 11:00:00
ACC000013,Account_13,Revenue,236919.2,EUR,CC687,EntityB,True,2023-01-01 12:00:00
ACC000014,Account_14,Revenue,475080.49,USD,CC795,EntityB,True,2023-01-01 13:00:00
ACC000015,Account_15,Revenue,172014.11,USD,CC717,EntityC,True,2023-01-01 14:00:00
ACC000016,Account_16,Revenue,830722.74,,CC685,EntityC,False,2023-01-01 15:00:00
ACC000017,Account_17,Equity,,INVALID,CC855,EntityB,True,2023-01-01 16:00:00
ACC000018,Account_18,Asset,423157.77,USD,CC730,EntityC,True,2023-01-01 17:00:00
ACC000019,CORRUPT_793719,Expense,,USD,CC831,EntityA,True,2023-01-01 18:00:00
ACC000020,Account_20,Equity,225366.71,USD,CC462,EntityC,True,2023-01-01 19:00:00
ACC000021,Account_21,Equity,446351.36,USD,CC282,EntityB,False,2023-01-01 20:00:00
ACC000022,Account_22,Liability,,EUR,CC311,EntityC,False,2023-01-01 21:00:00
ACC000023,CORRUPT_425723,Asset,495912.05,USD,CC650,EntityC,True,2023-01-01 22:00:00
ACC000024,Account_24,Expense,266175.49,,CC578,EntityC,True,2023-01-01 23:00:00
ACC000025,CORRUPT_444937,Revenue,330337.86,USD,CC169,EntityC,True,2023-01-02 00:00:00
ACC000026,Account_26,Revenue,,USD,CC283,EntityA,True,2023-01-02 01:00:00
ACC000027,Account_27,Equity,473820.26,USD,CC969,EntityA,True,2023-01-02 02:00:00
ACC000028,Account_28,Expense,183801.41,EUR,CC752,EntityB,True,2023-01-02 03:00:00
ACC000029,Account_29,Equity,194992902.45901763,USD,CC778,EntityB,True,2023-01-02 04:00:00
ACC000030,Account_30,Equity,202166.96,USD,CC277,EntityA,True,2023-01-02 05:00:00
ACC000031,Account_31,Equity,,EUR,CC157,EntityC,True,2023-01-02 06:00:00
ACC000032,Account_32,Liability,360171.48,USD,CC361,EntityA,True,2023-01-02 07:00:00
ACC000033,Account_33,Asset,194992902.45901763,USD,CC870,EntityC,True,2023-01-02 08:00:00
ACC000034,Account_34,Equity,453636.08,USD,CC555,EntityA,True,2023-01-02 09:00:00
ACC000035,Account_35,Expense,210231.19,GBP,CC805,EntityB,True,2023-01-02 10:00:00
ACC000036,Account_36,Asset,323888.83,EUR,CC537,EntityC,True,2023-01-02 11:00:00
ACC000037,Account_37,Expense,171838.85,USD,CC540,EntityB,True,2023-01-02 12:00:00
ACC000038,Account_38,Expense,204670.18,USD,CC640,EntityC,True,2023-01-02 13:00:00
ACC000039,Account_39,Liability,12552979.751870908,USD,CC962,EntityC,True,2023-01-02 14:00:00
ACC000040,Account_40,Revenue,63777.7,XXX,CC493,EntityC,True,2023-01-02 15:00:00
ACC000041,Account_41,Asset,12552979.751870908,USD,CC635,EntityB,True,2023-01-02 16:00:00
ACC000042,Account_42,Revenue,334077.47,GBP,CC926,EntityC,True,2023-01-02 17:00:00
ACC000043,Account_43,Revenue,328103.35,EUR,CC434,EntityB,True,2023-01-02 18:00:00
ACC000044,Account_44,Liability,331791.95,,CC855,EntityC,True,2023-01-02 19:00:00
ACC000045,Account_45,Asset,10863.46,INVALID,CC581,EntityC,False,2023-01-02 20:00:00
ACC000046,Account_46,Expense,,GBP,CC890,EntityA,False,2023-01-02 21:00:00
ACC000047,CORRUPT_782819,Equity,12552979.751870908,USD,CC520,EntityB,True,2023-01-02 22:00:00
ACC000048,CORRUPT_344830,Expense,194992902.45901763,,CC665,EntityC,True,2023-01-02 23:00:00
ACC000049,Account_49,Revenue,,GBP,CC390,EntityA,True,2023-01-03 00:00:00
ACC000050,CORRUPT_181321,Revenue,124093.51,USD,CC670,EntityC,True,2023-01-03 01:00:00
ACC000051,Account_51,Revenue,,EUR,CC393,EntityA,False,2023-01-03 02:00:00
ACC000052,Account_52,Asset,12552979.751870908,,CC647,EntityC,True,2023-01-03 03:00:00
ACC000053,Account_53,,194992902.45901763,USD,CC809,EntityC,True,2023-01-03 04:00:00
ACC000054,Account_54,Equity,70188.59,EUR,CC490,EntityA,True,2023-01-03 05:00:00
ACC000055,Account_55,Equity,142476.86,USD,CC485,EntityC,True,2023-01-03 06:00:00
ACC000056,Account_56,,337693.54,USD,CC389,EntityA,True,2023-01-03 07:00:00
ACC000057,Account_57,Equity,,,CC756,EntityB,True,2023-01-03 08:00:00
ACC000058,Account_58,Asset,102058.68,USD,CC632,EntityC,True,2023-01-03 09:00:00
ACC000059,Account_59,Revenue,,USD,CC564,EntityA,True,2023-01-03 10:00:00
ACC000060,Account_60,Revenue,12552979.751870908,,CC122,EntityA,True,2023-01-03 11:00:00
ACC000061,Account_61,Expense,476508.31,USD,CC198,EntityB,True,2023-01-03 12:00:00
ACC000062,Account_62,Revenue,,USD,CC106,EntityB,True,2023-01-03 13:00:00
ACC000063,Account_63,Liability,128298.36,USD,CC864,EntityA,True,2023-01-03 14:00:00
ACC000064,Account_64,Expense,313113.6,EUR,CC865,EntityB,True,2023-01-03 15:00:00
ACC000065,Account_65,Equity,160925.09,USD,CC161,EntityA,True,2023-01-03 16:00:00
ACC000066,Account_66,Liability,12552979.751870908,USD,CC141,EntityA,True,2023-01-03 17:00:00
ACC000067,Account_67,Expense,200438.39,USD,CC802,EntityA,True,2023-01-03 18:00:00
ACC000068,Account_68,Liability,,USD,CC571,EntityA,True,2023-01-03 19:00:00
ACC000069,Account_69,Asset,12590.56,EUR,CC377,EntityC,True,2023-01-03 20:00:00
ACC000070,Account_70,Equity,12552979.751870908,,CC652,EntityC,True,2023-01-03 21:00:00
ACC000071,Account_71,Revenue,437678.7,USD,CC312,EntityB,True,2023-01-03 22:00:00
ACC000072,Account_72,Asset,,GBP,CC278,EntityC,True,2023-01-03 23:00:00
ACC000073,Account_73,Equity,222527.5,EUR,CC430,EntityB,True,2023-01-04 00:00:00
ACC000074,Account_74,Asset,468032.81,EUR,CC905,EntityC,True,2023-01-04 01:00:00
ACC000075,Account_75,Revenue,12552979.751870908,EUR,CC789,EntityA,True,2023-01-04 02:00:00
ACC000076,Account_76,Equity,161785.62,GBP,CC270,EntityA,True,2023-01-04 03:00:00
ACC000077,Account_77,Liability,272729.65,USD,CC604,EntityC,True,2023-01-04 04:00:00
ACC000078,Account_78,Liability,245422.3,,CC895,EntityA,False,2023-01-04 05:00:00
ACC000079,Account_79,Equity,194992902.45901763,,CC955,EntityC,True,2023-01-04 06:00:00
ACC000080,Account_80,,669950.35,USD,CC785,EntityB,False,2023-01-04 07:00:00
ACC000081,Account_81,,122858.3,USD,CC215,EntityB,True,2023-01-04 08:00:00
ACC000082,CORRUPT_128899,Equity,12552979.751870908,XXX,CC316,EntityB,True,2023-01-04 09:00:00
ACC000083,Account_83,Asset,194992902.45901763,,CC296,EntityC,True,2023-01-04 10:00:00
ACC000084,Account_84,Expense,421818.12,EUR,CC235,EntityA,True,2023-01-04 11:00:00
ACC000085,Account_85,Revenue,489124.01,EUR,CC257,EntityC,True,2023-01-04 12:00:00
ACC000086,Account_86,Revenue,372750.77,USD,CC384,EntityC,True,2023-01-04 13:00:00
ACC000087,Account_87,Asset,12552979.751870908,USD,CC599,EntityC,True,2023-01-04 14:00:00
ACC000088,Account_88,,194992902.45901763,USD,CC457,EntityC,True,2023-01-04 15:00:00
ACC000089,Account_89,Revenue,240823.21,USD,CC478,EntityC,True,2023-01-04 16:00:00
ACC000090,Account_90,Expense,228769.65,GBP,CC320,EntityB,True,2023-01-04 17:00:00
ACC000091,Account_91,,120872.91,EUR,CC235,EntityB,True,2023-01-04 18:00:00
ACC000092,Account_92,Expense,322764.78,GBP,CC998,EntityB,True,2023-01-04 19:00:00
ACC000093,Account_93,Expense,145370.75,EUR,CC638,EntityC,True,2023-01-04 20:00:00
ACC000094,Account_94,Liability,129646.4,GBP,CC306,EntityB,True,2023-01-04 21:00:00
ACC000095,Account_95,Expense,293394.73,USD,CC828,EntityB,True,2023-01-04 22:00:00
ACC000096,Account_96,Liability,205581.21,USD,CC846,EntityA,True,2023-01-04 23:00:00
ACC000097,Account_97,Liability,,USD,CC969,EntityA,True,2023-01-05 00:00:00
ACC000098,Account_98,Revenue,,,CC243,EntityA,True,2023-01-05 01:00:00
ACC000099,Account_99,Revenue,430424.39,USD,CC675,EntityB,True,2023-01-05 02:00:00
ACC000100,Account_100,Asset,84682.06,,CC981,EntityB,True,2023-01-05 03:00:00
ACC000101,Account_101,Expense,,INVALID,CC825,EntityC,True,2023-01-05 04:00:00
ACC000102,Account_102,,12552979.751870908,USD,CC302,EntityB,True,2023-01-05 05:00:00
ACC000103,Account_103,Expense,398957.91,GBP,CC902,EntityA,True,2023-01-05 06:00:00
ACC000104,Account_104,Asset,419747.76,EUR,CC479,EntityB,True,2023-01-05 07:00:00
ACC000105,Account_105,Revenue,70026.21,USD,CC539,EntityA,True,2023-01-05 08:00:00
ACC000106,Account_106,Revenue,387393.61,USD,CC602,EntityC,True,2023-01-05 09:00:00
ACC000107,Account_107,Revenue,58736.38,USD,CC793,EntityC,True,2023-01-05 10:00:00
ACC000108,Account_108,Revenue,195641.23,USD,CC208,EntityA,True,2023-01-05 11:00:00
ACC000109,Account_109,Equity,12552979.751870908,,CC584,EntityA,True,2023-01-05 12:00:00
ACC000110,Account_110,,97102.82,GBP,CC834,EntityA,True,2023-01-05 13:00:00
ACC000111,Account_111,Liability,741666.75,USD,CC593,EntityB,False,2023-01-05 14:00:00
ACC000112,Account_112,Revenue,211977.37,USD,CC346,EntityA,True,2023-01-05 15:00:00
ACC000113,Account_113,Equity,310214.59,,CC150,EntityC,True,2023-01-05 16:00:00
ACC000114,Account_114,Equity,194992902.45901763,INVALID,CC593,EntityA,True,2023-01-05 17:00:00
ACC000115,Account_115,Equity,490429.75,USD,CC732,EntityB,True,2023-01-05 18:00:00
ACC000116,Account_116,Equity,35750.68,INVALID,CC594,EntityB,True,2023-01-05 19:00:00
ACC000117,Account_117,Asset,69860.76,USD,CC980,EntityA,True,2023-01-05 20:00:00
ACC000118,Account_118,Asset,395578.25,,CC641,EntityC,True,2023-01-05 21:00:00
ACC000119,Account_119,Liability,136045.44,USD,CC556,EntityA,True,2023-01-05 22:00:00
ACC000120,Account_120,Asset,194992902.45901763,USD,CC149,EntityC,True,2023-01-05 23:00:00
ACC000121,CORRUPT_448251,Equity,194992902.45901763,USD,CC602,EntityC,True,2023-01-06 00:00:00
ACC000122,Account_122,Revenue,,USD,CC251,EntityB,True,2023-01-06 01:00:00
ACC000123,CORRUPT_199762,Revenue,416432.11,USD,CC751,EntityC,False,2023-01-06 02:00:00
ACC000124,Account_124,,,USD,CC244,EntityB,True,2023-01-06 03:00:00
ACC000125,Account_125,Expense,194992902.45901763,USD,CC915,EntityA,True,2023-01-06 04:00:00
ACC000126,Account_126,Equity,276540.28,XXX,CC371,EntityA,False,2023-01-06 05:00:00
ACC000127,Account_127,Asset,250882.31,,CC490,EntityC,True,2023-01-06 06:00:00
ACC000128,Account_128,Revenue,343395.29,,CC230,EntityB,True,2023-01-06 07:00:00
ACC000129,Account_129,Equity,326690.68,USD,CC289,EntityC,True,2023-01-06 08:00:00
ACC000130,Account_130,Revenue,12552979.751870908,,CC928,EntityA,True,2023-01-06 09:00:00
ACC000131,Account_131,Equity,,,CC355,EntityC,True,2023-01-06 10:00:00
ACC000132,Account_132,Equity,258713.24,GBP,CC561,EntityC,True,2023-01-06 11:00:00
ACC000133,Account_133,Asset,48504.34,INVALID,CC982,EntityA,True,2023-01-06 12:00:00
ACC000134,Account_134,Equity,364193.81,USD,CC660,EntityB,True,2023-01-06 13:00:00
ACC000135,Account_135,Revenue,488355.38,EUR,CC137,EntityC,True,2023-01-06 14:00:00
ACC000136,Account_136,Liability,159844.87,EUR,CC421,EntityA,True,2023-01-06 15:00:00
ACC000137,Account_137,Revenue,12552979.751870908,EUR,CC447,EntityA,True,2023-01-06 16:00:00
ACC000138,Account_138,Asset,212963.69,USD,CC348,EntityA,True,2023-01-06 17:00:00
ACC000139,Account_139,Liability,194992902.45901763,EUR,CC316,EntityB,True,2023-01-06 18:00:00
ACC000140,Account_140,Equity,336459.95,USD,CC552,EntityA,True,2023-01-06 19:00:00
ACC000141,Account_141,Expense,177315.51,USD,CC438,EntityB,True,2023-01-06 20:00:00
ACC000142,Account_142,Liability,194992902.45901763,USD,CC364,EntityC,True,2023-01-06 21:00:00
ACC000143,CORRUPT_466508,Liability,416227.92,GBP,CC471,EntityA,True,2023-01-06 22:00:00
ACC000144,Account_144,,,USD,CC408,EntityA,True,2023-01-06 23:00:00
ACC000145,Account_145,,208916.33,XXX,CC305,EntityB,True,2023-01-07 00:00:00
ACC000146,Account_146,Expense,161451.3,USD,CC507,EntityA,True,2023-01-07 01:00:00
ACC000147,Account_147,Asset,374661.57,,CC947,EntityA,True,2023-01-07 02:00:00
ACC000148,Account_148,Liability,400893.33,EUR,CC554,EntityA,True,2023-01-07 03:00:00
ACC000149,Account_149,Expense,246137.47,EUR,CC637,EntityA,True,2023-01-07 04:00:00
ACC000150,Account_150,,446622.48,,CC984,EntityC,True,2023-01-07 05:00:00
ACC000151,Account_151,Expense,72810.44,,CC651,EntityA,True,2023-01-07 06:00:00
ACC000152,Account_152,Liability,439655.32,USD,CC300,EntityB,True,2023-01-07 07:00:00
ACC000153,Account_153,Expense,48951.52,USD,CC458,EntityC,False,2023-01-07 08:00:00
ACC000154,Account_154,Liability,77609.24,USD,CC538,EntityB,True,2023-01-07 09:00:00
ACC000155,Account_155,Equity,12552979.751870908,USD,CC526,EntityB,True,2023-01-07 10:00:00
ACC000156,Account_156,Revenue,,USD,CC234,EntityB,True,2023-01-07 11:00:00
ACC000157,Account_157,Asset,194992902.45901763,USD,CC195,EntityC,True,2023-01-07 12:00:00
ACC000158,Account_158,Equity,,USD,CC414,EntityA,False,2023-01-07 13:00:00
ACC000159,Account_159,Equity,218722.01,GBP,CC921,EntityA,True,2023-01-07 14:00:00
ACC000160,CORRUPT_45857,Revenue,387537.32,USD,CC744,EntityC,True,2023-01-07 15:00:00
ACC000161,Account_161,Expense,18384.34,GBP,CC856,EntityA,True,2023-01-07 16:00:00
ACC000162,Account_162,Revenue,326476.55,,CC256,EntityA,True,2023-01-07 17:00:00
ACC000163,Account_163,Equity,194992902.45901763,USD,CC472,EntityA,True,2023-01-07 18:00:00
ACC000164,Account_164,,12552979.751870908,EUR,CC622,EntityA,True,2023-01-07 19:00:00
ACC000165,Account_165,Equity,74285.0,XXX,CC490,EntityA,True,2023-01-07 20:00:00
ACC000166,Account_166,Expense,194992902.45901763,USD,CC474,EntityB,True,2023-01-07 21:00:00
ACC000167,Account_167,Liability,411739.18,USD,CC423,EntityB,True,2023-01-07 22:00:00
ACC000168,Account_168,Asset,269931.94,USD,CC146,EntityA,True,2023-01-07 23:00:00
ACC000169,Account_169,Liability,409780.74,USD,CC870,EntityC,True,2023-01-08 00:00:00
ACC000170,Account_170,Asset,47285.28,USD,CC938,EntityA,True,2023-01-08 01:00:00
