tb_id,account_id,period,debit,credit,net_balance,account_type,entity
1,ACC000447,2023-Q4,165844.23,91095.28,74748.95,Revenue,EntityA
2,ACC003870,2023-Q3,118819.2,23771.6,95047.6,Expense,EntityB
3,ACC003273,2023-Q4,48970.95,113834.69,-64863.74,Asset,EntityC
4,ACC002195,2023-Q4,149135.0,31285.77,117849.23,Liability,EntityA
5,ACC002166,2023-Q3,16896.18,12191.67,4704.51,Asset,EntityC
6,ACC004293,2023-Q2,154883.57,99733.57,55150.0,Equity,EntityA
7,ACC000430,2023-Q3,117997.04,131074.69,-13077.65,Equity,EntityC
8,ACC003487,2023-Q2,22150.06,170829.46,-148679.4,Asset,EntityB
9,ACC001008,2023-Q3,15901.11,156567.11,-140666.0,Revenue,EntityC
10,ACC000471,2023-Q4,150167.27,171448.1,-21280.83,Asset,EntityC
11,ACC002633,2023-Q2,58587.18,152013.75,-93426.57,Revenue,EntityB
12,ACC004879,2023-Q3,177860.37,140647.88,37212.49,Revenue,EntityC
13,ACC003679,2023-Q1,-10805.71,2027.51,150387.09,Expense,EntityB
14,ACC003806,2023-Q3,139638.05,125220.46,14417.59,Asset,EntityB
15,ACC003588,2023-Q2,55721.21,24096.36,31624.85,Expense,EntityC
16,ACC003931,2023-Q2,141788.9,11733.43,130055.47,Equity,EntityA
17,ACC002567,2023-Q3,189629.54,31282.43,158347.11,Expense,EntityB
18,ACC000641,2023-Q1,18311.97,164658.43,-146346.46,Revenue,EntityA
19,ACC004199,2023-Q3,65232.53,148769.88,-83537.35,Revenue,EntityB
20,ACC002252,2023-Q3,46934.45,189754.48,54621.81851546688,Asset,EntityC
21,ACC002502,2023-Q2,78650.03,195795.25,-117145.22,Revenue,EntityA
22,ACC001854,2023-Q1,148466.53,178656.8,-30190.27,Equity,EntityB
23,ACC000913,2023-Q2,94848.52,26585.21,68263.31,Expense,EntityB
24,ACC004634,2023-Q1,114146.12,175676.55,-61530.43,Revenue,EntityC
25,ACC003908,2023-Q2,62830.98,167727.43,-104896.45,Asset,EntityA
26,ACC003220,2023-Q3,28257.85,174217.17,-145959.32,Expense,EntityA
27,ACC002013,2023-Q1,53386.73,30337.12,23049.61,Asset,EntityA
28,ACC004114,2023-Q3,171936.06,23358.37,148577.69,Liability,EntityB
29,ACC002728,2023-Q1,120483.39,184761.78,124571.47476590586,Liability,EntityB
30,ACC002218,2023-Q4,75597.73,34765.33,40832.4,Expense,EntityC
31,ACC002253,2023-Q3,157981.2,73724.35,84256.85,Asset,EntityB
32,ACC001137,2023-Q2,12891.49,91196.97,-78305.48,Expense,EntityA
33,ACC000461,2023-Q3,-33350.97,24888.51,25889.71,Liability,EntityC
34,ACC002773,2023-Q1,46020.63,4126.86,41893.77,Revenue,EntityA
35,ACC004440,2023-Q1,197072.91,,-1745.18,Asset,EntityB
36,ACC000320,2023-Q4,141219.72,175331.45,-34111.73,Liability,EntityB
37,ACC004292,2023-Q4,123557.19,182467.59,-58910.4,Revenue,EntityA
38,ACC004139,2023-Q1,996.99,56912.61,-55915.62,Revenue,EntityB
39,ACC001384,2023-Q2,36862.0,44020.31,-7158.31,Expense,EntityB
40,ACC003159,2023-Q1,-42151.59,85173.31,41934.95,Expense,EntityC
41,ACC000827,2023-Q2,75943.87,90663.87,80377.5079516641,Equity,EntityA
42,ACC003791,2023-Q2,184856.08,1119.89,183736.19,Liability,EntityC
43,ACC003503,2023-Q2,152944.84,155850.62,-2905.78,Liability,EntityB
44,ACC001773,2023-Q3,89476.81,199333.41,-109856.6,Expense,EntityC
45,ACC000340,2023-Q1,149903.0,105738.17,44164.83,Revenue,EntityA
46,ACC004854,2023-Q4,195080.86,77651.74,117429.12,Expense,EntityA
47,ACC002229,2023-Q3,92196.16,78550.38,13645.78,Equity,EntityC
48,ACC004466,2023-Q4,128505.18,19215.43,109289.75,Equity,EntityB
49,ACC003390,2023-Q1,183732.92,53232.36,130500.56,Expense,EntityA
50,ACC003892,2023-Q3,49734.93,,-50691.63,Revenue,EntityC
51,ACC003800,2023-Q4,177311.58,86369.6,90941.98,Liability,EntityA
52,ACC000974,2023-Q1,19508.94,109006.95,-89498.01,Equity,EntityB
53,ACC001820,2023-Q4,129689.63,169813.13,-40123.5,Liability,EntityC
54,ACC002334,2023-Q2,156567.63,45048.46,111519.17,Revenue,EntityC
55,ACC002489,2023-Q4,122921.24,5532.84,117388.4,Asset,EntityC
56,ACC000220,2023-Q2,99106.96,7645.09,91461.87,Expense,EntityB
57,ACC002733,2023-Q4,123469.42,26833.76,96635.66,Expense,EntityA
58,ACC000772,2023-Q1,30332.74,114096.6,-83763.86,Asset,EntityA
59,ACC003717,2023-Q2,43114.14,161636.96,-118522.82,Revenue,EntityC
60,ACC003416,2023-Q2,53979.87,177361.19,-123381.32,Asset,EntityB
61,ACC004613,2023-Q1,119555.87,127022.64,-7466.77,Liability,EntityA
62,ACC003724,2023-Q2,88380.21,80628.65,7751.56,Liability,EntityC
63,ACC001834,2023-Q2,,30902.94,17992.23,Equity,EntityC
64,ACC004838,2023-Q1,176561.87,80283.67,96278.2,Expense,EntityA
65,ACC002055,2023-Q3,74784.37,66483.03,8301.34,Equity,EntityC
66,ACC001630,2023-Q3,89206.34,174005.18,-84798.84,Liability,EntityB
67,ACC004528,2023-Q4,81940.22,,-15403.66,Asset,EntityB
68,ACC001853,2023-Q3,36388.59,45239.18,-8850.59,Expense,EntityC
69,ACC000382,2023-Q1,146325.4,57760.21,88565.19,Liability,EntityA
70,ACC002348,2023-Q1,89691.65,27294.03,62397.62,Equity,EntityA
71,ACC003979,2023-Q2,3251.42,183717.09,-180465.67,Asset,EntityC
72,ACC000948,2023-Q2,-11301.13,10069.17,182733.57,Liability,EntityB
73,ACC002315,2023-Q1,163152.72,2569.25,160583.47,Equity,EntityA
74,ACC000650,2023-Q4,144711.87,36597.79,108114.08,Expense,EntityC
75,ACC003433,2023-Q3,173818.37,162174.8,11643.57,Liability,EntityA
76,ACC002379,2023-Q3,181361.45,104693.36,76668.09,Equity,EntityC
77,ACC001651,2023-Q1,67497.94,125168.66,-57670.72,Expense,EntityA
78,ACC001135,2023-Q4,122191.74,71546.34,128715.99352859873,Liability,EntityB
79,ACC002823,2023-Q1,121761.56,13735.6,108025.96,Liability,EntityB
80,ACC003350,2023-Q2,53459.93,171231.63,-117771.7,Asset,EntityC
81,ACC004702,2023-Q2,44390.45,38378.85,6011.6,Expense,EntityB
82,ACC002186,2023-Q4,22781.45,6611.84,16169.61,Asset,EntityC
83,ACC000804,2023-Q2,131862.84,114540.83,17322.01,Liability,EntityA
84,ACC004164,2023-Q1,156183.8,16657.84,139525.96,Asset,EntityB
85,ACC003149,2023-Q2,152190.6,19152.37,133038.23,Revenue,EntityC
86,ACC003502,2023-Q2,63255.08,160075.41,-96820.33,Liability,EntityA
87,ACC000487,2023-Q1,41051.97,98321.92,-57269.95,Revenue,EntityC
88,ACC001562,2023-Q1,90722.84,48301.69,42421.15,Revenue,EntityC
89,ACC003840,2023-Q1,109362.69,69725.28,39637.41,Asset,EntityC
90,ACC004162,2023-Q2,183817.43,145848.2,37969.23,Liability,EntityA
91,ACC002177,2023-Q2,174964.63,13270.83,161693.8,Asset,EntityC
92,ACC004024,2023-Q2,183211.67,,159915.55,Asset,EntityC
93,ACC004209,2023-Q3,170052.48,,46800.07,Equity,EntityA
94,ACC001938,2023-Q1,192916.24,121394.35,71521.89,Liability,EntityB
95,ACC004491,2023-Q4,93100.0,194492.44,-101392.44,Asset,EntityA
96,ACC001442,2023-Q4,9494.7,74909.9,-65415.2,Equity,EntityB
97,ACC001198,2023-Q1,16712.41,13015.53,3696.88,Equity,EntityA
98,ACC003413,2023-Q2,78055.23,107507.49,-29452.26,Expense,EntityB
99,ACC003184,2023-Q1,51537.42,127669.36,-76131.94,Revenue,EntityB
100,ACC000699,2023-Q2,33988.12,27920.56,6067.56,Liability,EntityB
101,ACC004164,2023-Q2,190640.75,110572.39,80068.36,Equity,EntityC
